Symbol,Company,Sector,Industry,Current_Price,ATH_Price_Flag,TTM_Net_Profit,ATH_Profit_Flag,Above_MA212_Flag,RS_vs_Sector,RS_vs_Benchmark,Outperformance_Flag,ATH_Sales,ATH_Sales_Flag,Signal
TIPSFILMS,Tips Films Limited,Communication Services,Entertainment,375.25,False,25.33,False,False,-7.24,-25.23,False,,False,EXIT
MODTHREAD,Modern Threads (India) Limited,Consumer Cyclical,Textile Manufacturing,48.2400016784668,False,12.19,False,True,-13.53,-5.51,False,,False,EXIT
UMIYA-MRO,Umiya Buildcon Limited,Real Estate,Real Estate - Development,90.02999877929688,False,33.37,False,True,23.97,7.45,True,123.0,False,HOLD
TTL,T.T. Limited,Consumer Cyclical,Textile Manufacturing,5.809999942779541,False,2.3,False,False,-65.01,-56.86,False,,False,EXIT
TRIGYN,Trigyn Technologies Limited,Technology,Information Technology Services,53.5,False,11.2,False,False,-39.79,-38.87,False,1280.0,False,EXIT
DELPHIFX,Delphi World Money Limited,Financial Services,Capital Markets,6.769999980926514,False,6.97,False,False,-50.06,-48.51,False,9163.53,False,EXIT
DCM,DCM Limited,Industrials,Metal Fabrication,82.48999786376953,False,6.5,False,False,-22.72,-21.7,False,961.69,False,EXIT
INDOUS,Indo Us Bio-Tech Limited,Basic Materials,Agricultural Inputs,81.6500015258789,False,13.120000000000001,True,False,-59.42,-58.88,False,49.39,True,EXIT
KRITIKA,Kritika Wires Limited,Basic Materials,Steel,5.789999961853027,False,6.199999999999999,False,False,-38.87,-38.39,False,,False,EXIT
METROGLOBL,MetroGlobal Limited,Industrials,Conglomerates,134.49000549316406,False,17.46,False,False,,,False,,False,EXIT
ARCHIDPLY,Archidply Industries Limited,Basic Materials,Lumber & Wood Production,89.48999786376953,False,7.98,False,True,-18.76,-18.33,False,550.0,True,EXIT
SRTL,SRTL,Consumer Cyclical,Textile Manufacturing,39.790000915527344,False,4.46,False,False,,,False,,False,EXIT
AMJLAND,AMJ Land Holdings Limited,Real Estate,Real Estate - Development,39.36000061035156,False,14.790000000000001,False,False,-18.86,-34.82,False,333.0,False,EXIT
CENTEXT,Century Extrusions Limited,Basic Materials,Aluminum,23.0,False,8.07,False,True,-7.38,-6.99,False,431.0,True,EXIT
