Symbol,Company,Sector,Industry,Current_Price,ATH_Price_Flag,TTM_Net_Profit,ATH_Profit_Flag,Above_MA212_Flag,RS_Peer_Group,RS_vs_Sector,RS_vs_Benchmark,Outperformance_Flag,TTM_Net_Sales,ATH_Sales,ATH_Sales_Flag,Signal
OFSS,Oracle Financial Services Software Limited,Technology,Software - Infrastructure,11623.0,False,3551.0,True,True,NIFTY IT,45.39,33.11,True,6887.0,5717.0,True,HOLD
PAYTM,One97 Communications Limited,Technology,Software - Infrastructure,1546.300048828125,False,185.0,True,True,Sector: Technology,14.6,23.53,True,5308.0,7661.0,False,HOLD
JSWENERGY,JSW Energy Limited,Utilities,Utilities - Independent Power Producers,548.0999755859375,False,885.0,False,True,NIFTY ENERGY,-7.15,2.68,False,3215.0,6302.0,False,EXIT
INDHOTEL,The Indian Hotels Company Limited,Consumer Cyclical,Lodging,719.0,False,2105.0,True,True,Sector: Consumer Cyclical,-20.54,-12.18,False,5567.0,5380.0,True,HOLD
LUPIN,Lupin Limited,Healthcare,Drug Manufacturers - Specialty & Generic,2232.0,False,6953.0,True,True,NIFTY PHARMA,-7.81,12.97,False,20976.0,19513.0,True,HOLD
INDUSTOWER,Indus Towers Limited,Communication Services,Telecom Services,372.3999938964844,False,7146.0,False,False,Sector: Communication Services,19.52,6.06,True,32867.0,32493.0,True,EXIT
ASHOKLEY,Ashok Leyland Limited,Industrials,Farm & Heavy Construction Machinery,176.35000610351562,False,3581.0,True,True,NIFTY AUTO,10.1,31.46,True,44917.0,44007.0,True,HOLD
MANKIND,Mankind Pharma Limited,Healthcare,Drug Manufacturers - Specialty & Generic,2380.0,False,2180.0,True,True,NIFTY PHARMA,-32.15,-10.09,False,10787.0,10421.0,True,HOLD
DRREDDY,Dr. Reddy's Laboratories Limited,Healthcare,Drug Manufacturers - Specialty & Generic,1178.800048828125,False,663.0,False,False,NIFTY PHARMA,-30.07,-8.12,False,17860.0,23115.0,False,EXIT
BHARATFORG,Bharat Forge Limited,Consumer Cyclical,Auto Parts,2098.89990234375,False,802.0,False,True,NIFTY AUTO,56.95,75.18,True,8638.0,8969.0,False,HOLD
MAXHEALTH,Max Healthcare Institute Limited,Healthcare,Medical Care Facilities,1014.4000244140625,False,718.0,True,False,Sector: Healthcare,-33.63,-20.28,False,2963.0,2874.0,True,EXIT
