Symbol,Company Name,Type,MarketCap,Date,Event_Type,Price,SMA20,SMA50,SMA200,Primary_Buy_Ref_Price,Details
BAJAJFINSV,Bajaj Finserv Limited,V40,326015.9361,2024-12-31,Primary_Buy,1568.1,1618.93,1658.74,1663.38,1568.1,MA Crossover Buy
BAJAJFINSV,Bajaj Finserv Limited,V40,326015.9361,2025-02-07,Primary_Sell,1798.35,1746.55,1680.29,1678.3,1568.1,Closed primary buy from 2024-12-31 at 1568.10
BAJAJHFL,Bajaj Housing Finance Ltd,V40Next,101712.7502,2024-12-12,Primary_Buy,132.75,134.35,137.41,141.94,132.75,MA Crossover Buy
BAJAJHFL,Bajaj Housing Finance Ltd,V40Next,101712.7502,2025-01-10,Secondary_Buy_Dip,118.51,125.94,131.16,137.99,132.75,10% dip from primary buy
BAJAJHFL,Bajaj Housing Finance Ltd,V40Next,101712.7502,2025-04-21,Secondary_Sell_Rise,130.72,122.45,117.08,128.15,132.75,Sell from secondary dip (buy at 118.51)
BAJAJHFL,Bajaj Housing Finance Ltd,V40Next,101712.7502,2025-12-23,Position_Still_Open,95.9,97.53,104.15,114.94,132.75,Primary buy from 2024-12-12 at 132.75 is still active. Secondary buy occurred and was sold.
BAJAJHLDNG,Bajaj Holdings & Investment Limited,V40,157473.964,2024-05-17,Primary_Buy,8220.65,8229.07,8289.7,8314.57,8220.65,MA Crossover Buy
BAJAJHLDNG,Bajaj Holdings & Investment Limited,V40,157473.964,2024-07-05,Primary_Sell,9667.6,8619.62,8345.02,8331.35,8220.65,Closed primary buy from 2024-05-17 at 8220.65
BAJAJHLDNG,Bajaj Holdings & Investment Limited,V40,157473.964,2025-11-05,Primary_Buy,12091.0,12452.8,12703.3,12715.76,12091.0,MA Crossover Buy
BAJAJHLDNG,Bajaj Holdings & Investment Limited,V40,157473.964,2025-12-23,Position_Still_Open,11255.0,11159.95,11861.86,12714.41,12091.0,Primary buy from 2025-11-05 at 12091.00 is still active. No secondary buy triggered yet for this primary cycle.
BAJFINANCE,Bajaj Finance Limited,V40,588270.6919,2024-03-06,Primary_Buy,631.12,659.14,698.56,699.17,631.12,MA Crossover Buy
BAJFINANCE,Bajaj Finance Limited,V40,588270.6919,2024-06-19,Primary_Sell,723.4,696.63,696.49,694.62,631.12,Closed primary buy from 2024-03-06 at 631.12
BAJFINANCE,Bajaj Finance Limited,V40,588270.6919,2024-12-20,Primary_Buy,684.83,686.46,686.86,695.41,684.83,MA Crossover Buy
BAJFINANCE,Bajaj Finance Limited,V40,588270.6919,2025-01-28,Primary_Sell,760.66,731.87,702.18,701.52,684.83,Closed primary buy from 2024-12-20 at 684.83
BATAINDIA,Bata India Ltd,V40,15832.61614,2024-03-12,Primary_Buy,1427.05,1428.0,1482.53,1493.44,1427.05,MA Crossover Buy
BATAINDIA,Bata India Ltd,V40,15832.61614,2024-07-23,Primary_Sell,1561.3,1510.62,1442.38,1440.18,1427.05,Closed primary buy from 2024-03-12 at 1427.05
BATAINDIA,Bata India Ltd,V40,15832.61614,2024-10-10,Primary_Buy,1394.65,1417.14,1443.28,1445.22,1394.65,MA Crossover Buy
BATAINDIA,Bata India Ltd,V40,15832.61614,2025-01-27,Secondary_Buy_Dip,1238.2,1354.27,1370.33,1410.94,1394.65,10% dip from primary buy
BATAINDIA,Bata India Ltd,V40,15832.61614,2025-02-01,Secondary_Sell_Rise,1377.15,1322.48,1369.93,1409.15,1394.65,Sell from secondary dip (buy at 1238.20)
BATAINDIA,Bata India Ltd,V40,15832.61614,2025-12-23,Position_Still_Open,948.05,965.14,1032.08,1166.08,1394.65,Primary buy from 2024-10-10 at 1394.65 is still active. Secondary buy occurred and was sold.
BERGEPAINT,Berger Paints India Ltd,V40,68146.37752,2024-03-12,Primary_Buy,563.85,570.39,574.78,575.76,563.85,MA Crossover Buy
BERGEPAINT,Berger Paints India Ltd,V40,68146.37752,2024-04-19,Secondary_Buy_Dip,504.55,553.14,560.77,569.09,563.85,10% dip from primary buy
BERGEPAINT,Berger Paints India Ltd,V40,68146.37752,2024-08-19,Secondary_Sell_Rise,562.75,539.61,519.95,538.98,563.85,Sell from secondary dip (buy at 504.55)
BERGEPAINT,Berger Paints India Ltd,V40,68146.37752,2024-09-06,Primary_Sell,596.3,568.0,542.89,542.23,563.85,Closed primary buy from 2024-03-12 at 563.85
BERGEPAINT,Berger Paints India Ltd,V40,68146.37752,2024-12-04,Primary_Buy,478.3,490.57,538.65,538.92,478.3,MA Crossover Buy
BERGEPAINT,Berger Paints India Ltd,V40,68146.37752,2025-05-14,Primary_Sell,552.95,550.73,522.31,521.72,478.3,Closed primary buy from 2024-12-04 at 478.30
BLUESTARCO,Blue Star Ltd,V40Next,33391.87651,2025-05-22,Primary_Buy,1558.9,1649.22,1903.67,1907.33,1558.9,MA Crossover Buy
BLUESTARCO,Blue Star Ltd,V40Next,33391.87651,2025-10-10,Primary_Sell,1949.1,1918.9,1878.27,1865.62,1558.9,Closed primary buy from 2025-05-22 at 1558.90
BOSCHLTD,Bosch Ltd,V40Next,95146.351,2025-02-01,Primary_Buy,28689.25,30733.68,33338.33,33440.71,28689.25,MA Crossover Buy
BOSCHLTD,Bosch Ltd,V40Next,95146.351,2025-07-10,Primary_Sell,36195.0,33187.25,32049.6,31968.4,28689.25,Closed primary buy from 2025-02-01 at 28689.25
CAMS,Computer Age Management Sevices Ltd,V40Next,21219.71794,2025-02-24,Primary_Buy,683.55,702.43,839.18,843.96,683.55,MA Crossover Buy
CAMS,Computer Age Management Sevices Ltd,V40Next,21219.71794,2025-11-03,Primary_Sell,779.48,772.31,771.88,770.46,683.55,Closed primary buy from 2025-02-24 at 683.55
CAMS,Computer Age Management Sevices Ltd,V40Next,21219.71794,2025-12-16,Primary_Buy,753.8,771.5,772.42,773.98,753.8,MA Crossover Buy
CAMS,Computer Age Management Sevices Ltd,V40Next,21219.71794,2025-12-23,Position_Still_Open,762.2,763.0,771.23,776.81,753.8,Primary buy from 2025-12-16 at 753.80 is still active. No secondary buy triggered yet for this primary cycle.
CDSL,Central Depository Service (India) Ltd,V40Next,36794.44992,2024-03-19,Primary_Buy,838.88,911.26,919.11,919.3,838.88,MA Crossover Buy
CDSL,Central Depository Service (India) Ltd,V40Next,36794.44992,2024-04-22,Primary_Sell,1006.1,931.34,926.9,922.35,838.88,Closed primary buy from 2024-03-19 at 838.88
CDSL,Central Depository Service (India) Ltd,V40Next,36794.44992,2025-03-10,Primary_Buy,1107.3,1189.13,1386.64,1396.39,1107.3,MA Crossover Buy
CDSL,Central Depository Service (India) Ltd,V40Next,36794.44992,2025-06-24,Primary_Sell,1748.5,1683.95,1474.79,1464.9,1107.3,Closed primary buy from 2025-03-10 at 1107.30
CIPLA,Cipla Limited,V40Next,121384.7568,2024-12-20,Primary_Buy,1472.05,1482.66,1512.85,1514.38,1472.05,MA Crossover Buy
CIPLA,Cipla Limited,V40Next,121384.7568,2025-07-25,Primary_Sell,1532.5,1492.11,1491.91,1490.48,1472.05,Closed primary buy from 2024-12-20 at 1472.05
COLPAL,Colgate-Palmolive ( India ) Ltd,V40,64766.686,2024-12-18,Primary_Buy,2776.45,2862.87,3047.68,3051.01,2776.45,MA Crossover Buy
COLPAL,Colgate-Palmolive ( India ) Ltd,V40,64766.686,2025-02-13,Secondary_Buy_Dip,2475.35,2695.63,2742.03,3062.78,2776.45,10% dip from primary buy
COLPAL,Colgate-Palmolive ( India ) Ltd,V40,64766.686,2025-04-24,Secondary_Sell_Rise,2732.0,2480.85,2473.73,2984.92,2776.45,Sell from secondary dip (buy at 2475.35)
COLPAL,Colgate-Palmolive ( India ) Ltd,V40,64766.686,2025-12-23,Position_Still_Open,2108.2,2141.69,2182.53,2349.49,2776.45,Primary buy from 2024-12-18 at 2776.45 is still active. Secondary buy occurred and was sold.
DABUR,Dabur India Ltd,V40,86263.41151,2024-03-14,Primary_Buy,529.65,536.91,541.48,541.54,529.65,MA Crossover Buy
DABUR,Dabur India Ltd,V40,86263.41151,2024-06-12,Primary_Sell,619.5,570.57,540.49,539.71,529.65,Closed primary buy from 2024-03-14 at 529.65
DABUR,Dabur India Ltd,V40,86263.41151,2024-11-25,Primary_Buy,521.5,527.1,574.14,574.77,521.5,MA Crossover Buy
DABUR,Dabur India Ltd,V40,86263.41151,2025-04-03,Secondary_Buy_Dip,465.4,498.22,510.41,562.51,521.5,10% dip from primary buy
DABUR,Dabur India Ltd,V40,86263.41151,2025-07-07,Secondary_Sell_Rise,512.75,480.34,480.22,514.94,521.5,Sell from secondary dip (buy at 465.40)
DABUR,Dabur India Ltd,V40,86263.41151,2025-08-20,Primary_Sell,535.0,517.48,504.35,503.68,521.5,Closed primary buy from 2024-11-25 at 521.50
DIXON,Dixon Technologies (India) Ltd,V40Next,87215.74789,2025-04-02,Primary_Buy,13450.7,13614.05,14197.61,14291.64,13450.7,MA Crossover Buy
DIXON,Dixon Technologies (India) Ltd,V40Next,87215.74789,2025-08-18,Primary_Sell,16756.0,16505.25,15598.0,15497.6,13450.7,Closed primary buy from 2025-04-02 at 13450.70
DIXON,Dixon Technologies (India) Ltd,V40Next,87215.74789,2025-12-09,Primary_Buy,13517.0,14697.9,15530.68,15550.78,13517.0,MA Crossover Buy
DIXON,Dixon Technologies (India) Ltd,V40Next,87215.74789,2025-12-23,Position_Still_Open,12845.0,13664.85,14784.68,15506.43,13517.0,Primary buy from 2025-12-09 at 13517.00 is still active. No secondary buy triggered yet for this primary cycle.
DMART,Avenue Supermarts Ltd,V40Next,280693.6764,2024-11-18,Primary_Buy,3790.55,3932.97,4523.85,4540.35,3790.55,MA Crossover Buy
DMART,Avenue Supermarts Ltd,V40Next,280693.6764,2024-12-20,Secondary_Buy_Dip,3408.3,3683.97,3862.67,4531.95,3790.55,10% dip from primary buy
DMART,Avenue Supermarts Ltd,V40Next,280693.6764,2025-01-03,Secondary_Sell_Rise,4025.2,3621.87,3753.94,4517.89,3790.55,Sell from secondary dip (buy at 3408.30)
DMART,Avenue Supermarts Ltd,V40Next,280693.6764,2025-06-27,Primary_Sell,4313.5,4167.15,4161.67,4026.02,3790.55,Closed primary buy from 2024-11-18 at 3790.55
DMART,Avenue Supermarts Ltd,V40Next,280693.6764,2025-12-08,Primary_Buy,3867.6,3999.8,4157.71,4171.05,3867.6,MA Crossover Buy
DMART,Avenue Supermarts Ltd,V40Next,280693.6764,2025-12-23,Position_Still_Open,3818.6,3885.66,4037.79,4186.27,3867.6,Primary buy from 2025-12-08 at 3867.60 is still active. No secondary buy triggered yet for this primary cycle.
EICHERMOT,Eicher Motors Ltd,V40Next,155226.6297,2024-03-19,Primary_Buy,3716.85,3819.26,3820.23,3849.03,3716.85,MA Crossover Buy
EICHERMOT,Eicher Motors Ltd,V40Next,155226.6297,2024-04-10,Primary_Sell,4315.1,3936.22,3887.73,3881.32,3716.85,Closed primary buy from 2024-03-19 at 3716.85
ERIS,Eris Lifesciences Ltd,V40Next,22875.67667,2024-03-12,Primary_Buy,878.1,880.12,897.32,897.79,878.1,MA Crossover Buy
ERIS,Eris Lifesciences Ltd,V40Next,22875.67667,2024-06-13,Primary_Sell,1023.25,932.2,892.43,890.33,878.1,Closed primary buy from 2024-03-12 at 878.10
GILLETTE,Gillette India Ltd,V40,35134.9932,2024-04-19,Primary_Buy,6445.45,6566.15,6575.94,6577.09,6445.45,MA Crossover Buy
GILLETTE,Gillette India Ltd,V40,35134.9932,2024-05-23,Primary_Sell,6973.5,6701.82,6601.05,6598.58,6445.45,Closed primary buy from 2024-04-19 at 6445.45
GILLETTE,Gillette India Ltd,V40,35134.9932,2025-03-25,Primary_Buy,7964.05,8015.86,8467.47,8668.04,7964.05,MA Crossover Buy
GILLETTE,Gillette India Ltd,V40,35134.9932,2025-06-25,Primary_Sell,10482.0,10030.17,8990.29,8958.52,7964.05,Closed primary buy from 2025-03-25 at 7964.05
GILLETTE,Gillette India Ltd,V40,35134.9932,2025-11-21,Primary_Buy,8276.5,8662.55,9244.45,9273.87,8276.5,MA Crossover Buy
GILLETTE,Gillette India Ltd,V40,35134.9932,2025-12-23,Position_Still_Open,7990.5,8265.35,8601.97,9271.42,8276.5,Primary buy from 2025-11-21 at 8276.50 is still active. No secondary buy triggered yet for this primary cycle.
GLAXO,Glaxosmithkline Pharmaceuticals Ltd,V40,58575.3559,2024-04-15,Primary_Buy,1902.2,1941.54,2103.28,2104.11,1902.2,MA Crossover Buy
GLAXO,Glaxosmithkline Pharmaceuticals Ltd,V40,58575.3559,2024-06-11,Primary_Sell,2655.75,2402.41,2149.98,2143.07,1902.2,Closed primary buy from 2024-04-15 at 1902.20
GLAXO,Glaxosmithkline Pharmaceuticals Ltd,V40,58575.3559,2024-12-27,Primary_Buy,2274.45,2325.19,2462.47,2466.99,2274.45,MA Crossover Buy
GLAXO,Glaxosmithkline Pharmaceuticals Ltd,V40,58575.3559,2025-01-15,Secondary_Buy_Dip,2042.5,2218.96,2341.33,2479.09,2274.45,10% dip from primary buy
GLAXO,Glaxosmithkline Pharmaceuticals Ltd,V40,58575.3559,2025-02-06,Secondary_Sell_Rise,2260.65,2054.27,2195.21,2490.13,2274.45,Sell from secondary dip (buy at 2042.50)
GLAXO,Glaxosmithkline Pharmaceuticals Ltd,V40,58575.3559,2025-04-17,Primary_Sell,2906.8,2809.59,2564.36,2552.61,2274.45,Closed primary buy from 2024-12-27 at 2274.45
GLAXO,Glaxosmithkline Pharmaceuticals Ltd,V40,58575.3559,2025-10-16,Primary_Buy,2723.7,2732.36,2755.1,2764.41,2723.7,MA Crossover Buy
GLAXO,Glaxosmithkline Pharmaceuticals Ltd,V40,58575.3559,2025-12-23,Position_Still_Open,2523.4,2548.23,2586.84,2851.81,2723.7,Primary buy from 2025-10-16 at 2723.70 is still active. No secondary buy triggered yet for this primary cycle.
GODREJCP,Godrej Consumer Products Limited,V40Next,120346.9025,2024-11-25,Primary_Buy,1218.7,1238.02,1321.73,1327.59,1218.7,MA Crossover Buy
GODREJCP,Godrej Consumer Products Limited,V40Next,120346.9025,2024-12-17,Secondary_Buy_Dip,1089.3,1188.0,1244.16,1324.31,1218.7,10% dip from primary buy
GODREJCP,Godrej Consumer Products Limited,V40Next,120346.9025,2025-04-09,Secondary_Sell_Rise,1242.35,1119.78,1090.36,1257.8,1218.7,Sell from secondary dip (buy at 1089.30)
GODREJCP,Godrej Consumer Products Limited,V40Next,120346.9025,2025-07-31,Primary_Sell,1259.0,1249.58,1226.23,1184.18,1218.7,Closed primary buy from 2024-11-25 at 1218.70
GODREJCP,Godrej Consumer Products Limited,V40Next,120346.9025,2025-11-07,Primary_Buy,1121.8,1129.49,1179.93,1182.6,1121.8,MA Crossover Buy
GODREJCP,Godrej Consumer Products Limited,V40Next,120346.9025,2025-12-23,Position_Still_Open,1185.4,1152.49,1140.45,1191.5,1121.8,Primary buy from 2025-11-07 at 1121.80 is still active. No secondary buy triggered yet for this primary cycle.
HAVELLS,Havells India Ltd,V40,98229.27585,2024-12-18,Primary_Buy,1697.05,1724.01,1734.75,1761.01,1697.05,MA Crossover Buy
HAVELLS,Havells India Ltd,V40,98229.27585,2025-01-14,Secondary_Buy_Dip,1525.0,1653.11,1675.08,1773.91,1697.05,10% dip from primary buy
HAVELLS,Havells India Ltd,V40,98229.27585,2025-12-23,Position_Still_Open,1431.2,1419.78,1449.96,1516.62,1697.05,Primary buy from 2024-12-18 at 1697.05 is still active. Secondary buy at 1525.00 is also active.
HCLTECH,HCL Technologies Limited,V40,466826.5071,2024-05-08,Primary_Buy,1313.65,1445.69,1545.67,1548.8,1313.65,MA Crossover Buy
HCLTECH,HCL Technologies Limited,V40,466826.5071,2024-08-14,Primary_Sell,1626.15,1600.89,1518.7,1516.12,1313.65,Closed primary buy from 2024-05-08 at 1313.65
HCLTECH,HCL Technologies Limited,V40,466826.5071,2025-03-18,Primary_Buy,1545.15,1606.37,1711.47,1718.51,1545.15,MA Crossover Buy
HCLTECH,HCL Technologies Limited,V40,466826.5071,2025-04-07,Secondary_Buy_Dip,1374.1,1546.16,1628.69,1728.13,1545.15,10% dip from primary buy
HCLTECH,HCL Technologies Limited,V40,466826.5071,2025-04-23,Secondary_Sell_Rise,1594.0,1500.1,1579.73,1727.82,1545.15,Sell from secondary dip (buy at 1374.10)
HCLTECH,HCL Technologies Limited,V40,466826.5071,2025-12-12,Primary_Sell,1673.2,1640.72,1565.05,1560.49,1545.15,Closed primary buy from 2025-03-18 at 1545.15
HDFCAMC,HDFC Asset Management Company Ltd,V40,110131.5572,2025-02-03,Primary_Buy,1905.45,1954.34,2074.77,2076.59,1905.45,MA Crossover Buy
HDFCAMC,HDFC Asset Management Company Ltd,V40,110131.5572,2025-05-23,Primary_Sell,2407.05,2270.29,2113.86,2106.9,1905.45,Closed primary buy from 2025-02-03 at 1905.45
HDFCBANK,HDFC Bank Limited,V40,1545005.118,2024-03-20,Primary_Buy,715.53,717.75,734.08,752.68,715.53,MA Crossover Buy
HDFCBANK,HDFC Bank Limited,V40,1545005.118,2024-06-10,Primary_Sell,780.65,753.03,751.76,751.73,715.53,Closed primary buy from 2024-03-20 at 715.53
HDFCLIFE,HDFC Life Insurance Company Ltd,V40,173915.4784,2024-05-03,Primary_Buy,565.9,604.7,607.12,609.02,565.9,MA Crossover Buy
HDFCLIFE,HDFC Life Insurance Company Ltd,V40,173915.4784,2024-07-31,Primary_Sell,715.5,648.72,604.06,603.73,565.9,Closed primary buy from 2024-05-03 at 565.90
HDFCLIFE,HDFC Life Insurance Company Ltd,V40,173915.4784,2025-01-14,Primary_Buy,600.45,617.58,650.43,650.73,600.45,MA Crossover Buy
HDFCLIFE,HDFC Life Insurance Company Ltd,V40,173915.4784,2025-05-13,Primary_Sell,735.05,718.17,678.41,676.9,600.45,Closed primary buy from 2025-01-14 at 600.45
HINDUNILVR,Hindustan Unilever Limited,V40,542026.9175,2024-03-11,Primary_Buy,2389.85,2397.97,2472.96,2479.56,2389.85,MA Crossover Buy
HINDUNILVR,Hindustan Unilever Limited,V40,542026.9175,2024-07-08,Primary_Sell,2587.15,2493.51,2408.63,2406.67,2389.85,Closed primary buy from 2024-03-11 at 2389.85
HINDUNILVR,Hindustan Unilever Limited,V40,542026.9175,2024-12-18,Primary_Buy,2359.2,2432.6,2531.34,2539.44,2359.2,MA Crossover Buy
HINDUNILVR,Hindustan Unilever Limited,V40,542026.9175,2025-07-31,Primary_Sell,2521.2,2457.81,2384.14,2380.89,2359.2,Closed primary buy from 2024-12-18 at 2359.20
HONAUT,Honeywell Automation India Ltd,V40Next,35083.15095,2024-11-25,Primary_Buy,41413.0,44317.47,47574.74,47585.38,41413.0,MA Crossover Buy
