Symbol,Company,Sector,Industry,Current_Price,ATH_Price_Flag,TTM_Net_Profit,ATH_Profit_Flag,Above_MA212_Flag,RS_vs_Sector,RS_vs_Benchmark,Outperformance_Flag,TTM_Net_Sales,ATH_Sales,ATH_Sales_Flag,Signal
ANUP,The Anup Engineering Limited,Industrials,Specialty Industrial Machinery,1852.800048828125,False,83.0,False,False,-22.03,-20.57,False,738.0,789.0,False,EXIT
SINDHUTRAD,Sindhu Trade Links Limited,Industrials,Conglomerates,23.790000915527344,False,27.0,False,True,-8.76,-7.33,False,417.0,1140.0,False,EXIT
AGIIL,AGI Infra Limited,Real Estate,Real Estate - Development,297.8999938964844,False,102.0,True,False,47.05,31.33,True,357.0,353.0,True,HOLD
ASHIANA,Ashiana Housing Limited,Real Estate,Real Estate - Development,362.45001220703125,False,124.0,True,True,26.15,10.68,True,872.0,1063.0,False,HOLD
JKIL,J. Kumar Infraprojects Limited,Industrials,Engineering & Construction,498.29998779296875,False,379.0,False,False,-30.29,-28.81,False,5723.0,5694.0,True,EXIT
DBCORP,D. B. Corp Limited,Communication Services,Publishing,210.89999389648438,False,352.0,False,False,-8.31,-26.64,False,2399.0,2463.0,False,EXIT
EIEL,EIEL,Industrials,Engineering & Construction,203.0800018310547,False,166.0,False,True,-24.61,-23.14,False,1029.0,1046.0,False,EXIT
VSTIND,VST Industries Limited,Consumer Defensive,Tobacco,215.44000244140625,False,279.0,False,False,-21.21,-25.0,False,1423.0,1465.0,False,EXIT
OSWALPUMPS,OSWALPUMPS,Industrials,Electrical Equipment & Parts,300.5,False,229.0,False,False,-67.78,-66.21,False,1697.0,1796.0,False,EXIT
KSL,Kalyani Steels Limited,Basic Materials,Steel,860.2999877929688,False,262.0,True,True,-6.24,-5.86,False,1867.0,1982.0,False,HOLD
INDOSTAR,IndoStar Capital Finance Limited,Financial Services,Credit Services,248.8000030517578,False,-394.0,False,True,-13.78,-12.95,False,1413.0,1540.0,False,EXIT
BHAGCHEM,Bhagiradha Chemicals & Industries Limited,Basic Materials,Agricultural Inputs,276.20001220703125,False,29.0,False,True,-6.76,-6.38,False,571.0,521.0,True,EXIT
FILATEX,Filatex India Limited,Consumer Cyclical,Textile Manufacturing,82.29000091552734,True,192.0,False,True,45.34,51.41,True,4256.0,4304.0,False,HOLD
SHAREINDIA,Share India Securities Limited,Financial Services,Capital Markets,173.30999755859375,False,320.0,True,True,-0.9,-0.12,False,1304.0,1227.0,True,HOLD
POCL,Pondy Oxides And Chemicals Limited,Basic Materials,Specialty Chemicals,491.95001220703125,False,147.0,True,False,13.21,13.53,True,3273.0,2939.0,True,HOLD
UNIPARTS,Uniparts India Limited,Industrials,Farm & Heavy Construction Machinery,824.2999877929688,True,159.0,True,True,105.18,106.36,True,747.0,929.0,False,ADD
ADVENZYMES,Advanced Enzyme Technologies Limited,Basic Materials,Specialty Chemicals,304.29998779296875,False,80.0,False,False,-5.32,-4.94,False,444.0,453.0,False,EXIT
MUTHOOTMF,MUTHOOTMF,Financial Services,Credit Services,210.9499969482422,False,245.0,False,True,31.56,32.2,True,2480.0,2563.0,False,HOLD
HGINFRA,H.G. Infra Engineering Limited,Industrials,Engineering & Construction,523.75,False,292.0,False,False,-51.18,-49.65,False,4865.0,6052.0,False,EXIT
GREENPLY,Greenply Industries Limited,Basic Materials,Lumber & Wood Production,284.54998779296875,False,76.0,False,True,-11.8,-11.41,False,2081.0,2022.0,True,EXIT
HEIDELBERG,HeidelbergCement India Limited,Basic Materials,Building Materials,158.0800018310547,False,116.0,False,False,-30.95,-30.5,False,2360.0,2366.0,False,EXIT
SMSPHARMA,SMS Pharmaceuticals Limited,Healthcare,Drug Manufacturers - General,365.29998779296875,False,91.0,True,True,40.97,52.23,True,898.0,887.0,True,HOLD
UFLEX,Uflex Limited,Consumer Cyclical,Packaging & Containers,488.3999938964844,False,155.0,False,True,-26.07,-19.83,False,8065.0,7778.0,True,EXIT
NFL,National Fertilizers Limited,Basic Materials,Agricultural Inputs,71.80999755859375,False,273.0,False,False,-26.22,-25.78,False,22480.0,29587.0,False,EXIT
POLYPLEX,Polyplex Corporation Limited,Basic Materials,Specialty Chemicals,1181.5,False,50.0,False,True,5.7,6.04,True,1545.0,1785.0,False,HOLD
INDRAMEDCO,Indraprastha Medical Corporation Limited,Healthcare,Medical Care Facilities,371.8999938964844,False,188.0,True,False,-36.29,-24.52,False,1524.0,1483.0,True,EXIT
PITTIENG,Pitti Engineering Limited,Industrials,Metal Fabrication,1059.800048828125,False,101.0,False,True,3.41,4.82,True,1649.0,1590.0,True,HOLD
