Symbol,TTM_Net_Profit,Max_Annual_Net_Profit,TTM_Net_Sales,Max_Annual_Net_Sales
AVANTEL,17.0,56.0,241.0,249.0
AVANTIFEED,587.0,657.0,6360.0,6066.0
AVG,28.0,32.0,565.0,557.0
AVL,139.0,117.0,2924.0,2672.0
AVONMORE,32.0,122.0,206.0,212.0
AVROIND,4.24,4.6,98.31,94.64
AVTNPL,84.0,77.0,822.0,713.0
AWFIS,85.0,71.0,1584.0,1493.0
AWHCL,70.0,101.0,1067.0,1053.0
AWL,1158.0,1226.0,77720.0,74731.0
AXISBANK,27939.0,28191.0,135732.0,132538.0
AXISCADES,36.0,75.0,934.0,1031.0
AXITA,-1.0,1.0,654.0,653.0
AYE,238.0,194.0,1872.0,1815.0
AYMSYNTEX,19.0,12.0,1390.0,1489.0
AZAD,139.0,134.0,638.0,603.0
BAFNAPH,8.0,11.0,143.0,152.0
BAGFILMS,6.0,10.0,157.0,150.0
BAIDFIN,15.0,15.0,95.0,97.0
BAJAJ-AUTO,11553.0,10574.0,71460.0,62905.0
BAJAJCON,223.0,223.0,1240.0,1165.0
BAJAJELEC,-43.0,216.0,4487.0,6662.0
BAJAJFINSV,20637.0,19669.0,157642.0,150530.0
BAJAJHCARE,18.0,83.0,628.0,680.0
BAJAJHFL,2692.0,2560.0,11604.0,11150.0
BAJAJHIND,115.0,126.0,5332.0,6806.0
BAJAJHLDNG,8993.0,9789.0,1139.0,1702.0
BAJAJINDEF,23.0,34.0,202.0,208.0
BAJAJST,29.0,84.0,537.0,585.0
BAJEL,22.0,20.0,2751.0,2792.0
BAJFINANCE,20648.0,19332.0,85964.0,81985.0
BALAJEE,10.0,36.0,584.0,579.0
BALAJITELE,-21.0,85.0,378.0,625.0
BALAMINES,211.0,418.0,1523.0,2346.0
BALAXI,2.0,48.0,280.0,336.0
BALKRISHNA,-6.55,16.48,5.38,242.38
BALKRISIND,1406.0,1655.0,11518.0,10823.0
BALMLAWRIE,274.0,270.0,2785.0,3254.0
BALPHARMA,7.0,7.0,334.0,339.0
BALRAMCHIN,371.0,593.0,6366.0,6271.0
BALUFORGE,268.0,259.0,1175.0,1107.0
BANARBEADS,1.89,4.32,28.34,31.56
BANARISUG,122.0,152.0,1670.0,2526.0
BANCOINDIA,495.0,482.0,4110.0,3896.0
BANDHANBNK,1353.0,3024.0,21844.0,21948.0
BANG,5.0,7.0,233.0,224.0
BANKA,0.35,6.23,56.49,57.09
BANKBARODA,18392.0,20865.0,136546.0,134298.0
BANKINDIA,11783.0,10309.0,77244.0,75613.0
BANSALWIRE,142.0,161.0,4389.0,4160.0
BANSWRAS,37.0,113.0,1366.0,1499.0
BASF,643.0,563.0,16027.0,14944.0
BASML,23.0,56.0,869.0,1560.0
BATAINDIA,146.0,331.0,3553.0,3516.0
BATLIBOI,9.0,13.0,496.0,415.0
BAYERCROP,732.0,758.0,5595.0,5675.0
BBL,112.0,134.0,2356.0,2274.0
BBOX,226.0,218.0,6654.0,6322.0
BBTC,2584.0,2499.0,19915.0,19539.0
BBTCL,32.0,24.0,645.0,616.0
BCG,1013.0,1371.0,7225.0,7397.0
BCLIND,128.0,126.0,2583.0,2815.0
BCONCEPTS,1.0,12.0,356.0,348.0
BCPL,10.0,8.0,218.0,210.0
BDL,521.0,613.0,2766.0,4887.0
BEARDSELL,11.0,11.0,282.0,275.0
BECTORFOOD,149.0,143.0,2119.0,2044.0
BEDMUTHA,17.0,196.0,1698.0,1467.0
BEEKAY,43.0,158.0,1267.0,1296.0
BEL,6148.0,6062.0,28717.0,27610.0
BELLACASA,18.0,20.0,446.0,416.0
BELRISE,507.0,497.0,9793.0,9509.0
BEML,178.0,293.0,4536.0,4351.0
BENGALASM,782.0,4194.0,2437.0,16521.0
BEPL,200.0,350.0,1440.0,1398.0
BERGEPAINT,1218.0,1183.0,12263.0,11880.0
BESTAGRO,30.0,192.0,1272.0,1873.0
BETA,46.0,42.0,410.0,385.0
BFINVEST,390.0,434.0,78.0,1074.0
BFUTILITIE,-9.21,27.17,18.98,21.25
BGRENERGY,-1249.0,85.0,227.0,3441.0
BHAGCHEM,28.0,45.0,607.0,536.0
BHAGERIA,68.0,71.0,1003.0,874.0
BHAGYANGR,63.0,50.0,2597.0,2378.0
BHANDARI,7.0,8.0,268.0,283.0
BHARATCOAL,-117.0,1564.0,12911.0,15917.0
BHARATFORG,716.0,1089.0,17543.0,16812.0
BHARATGEAR,15.0,26.0,820.0,784.0
BHARATRAS,143.0,176.0,1203.0,1301.0
