Symbol,Company Name,Type,MarketCap,All-Time High (ATH),Current Market Price (CMP),Buy Trigger Price,Sell Trigger Price,CMP Proximity to Buy (%),ClosenessAbs (%)
IRB,IRB Infrastructure Developers Limited,Non-PSU,31191.4364928,76.85,50.09,61.48,73.78,-18.53,18.53
DRREDDY,Dr. Reddy's Laboratories Limited,Non-PSU,109906.9390848,1412.49,1362.5,1129.99,1355.99,20.58,20.58
BPCL,Bharat Petroleum Corporation Limited,PSU,137400.614912,369.95,312.3,258.97,310.76,20.6,20.6
ASTERDM,Aster DM Healthcare Limited,Non-PSU,29887.3126912,589.85,569.7,471.88,566.26,20.73,20.73
BHARTIARTL,Bharti Airtel Limited,Non-PSU,1120790.2756864,1901.0,1840.4,1520.8,1824.96,21.02,21.02
HDFCBANK,HDFC Bank Limited,Non-PSU,1515850.4062976,1978.9,1917.6,1583.12,1899.74,21.13,21.13
ICICIBANK,ICICI Bank Limited,Non-PSU,1041195.1783936,1460.6,1416.1,1168.48,1402.18,21.19,21.19
BAJFINANCE,Bajaj Finance Limited,Non-PSU,581890.473984,960.75,933.1,768.6,922.32,21.4,21.4
BAJAJHLDNG,Bajaj Holdings & Investment Limited,Non-PSU,158605.0760704,14382.0,14084.0,11505.6,13806.72,22.41,22.41
HINDPETRO,Hindustan Petroleum Corporation Limited,PSU,86612.9149952,448.5,386.25,313.95,376.74,23.03,23.03
BAJAJFINSV,Bajaj Finserv Limited,Non-PSU,317403.0114816,3269.25,2011.0,2615.4,3138.48,-23.11,23.11
TATAMOTORS,Tata Motors Limited,Non-PSU,261751.8063616,1161.85,712.05,929.48,1115.38,-23.39,23.39
HYUNDAI,Hyundai Motor India Limited,Non-PSU,151222.0000256,1956.4,1941.4,1565.12,1878.14,24.04,24.04
ADANIENT,Adani Enterprises Limited,Non-PSU,292586.0487168,4165.3,2507.9,3332.24,3998.69,-24.74,24.74
SBIN,State Bank of India,PSU,725616.2172928,905.65,792.35,633.96,760.75,24.99,24.99
MUTHOOTFIN,Muthoot Finance Limited,Non-PSU,98226.176,2598.7,2598.7,2078.96,2494.75,25.0,25.0
HAL,Hindustan Aeronautics Limited,PSU,333671.8778368,5621.95,5026.0,3935.37,4722.44,27.71,27.71
NMDC,NMDC Limited,PSU,63731.9053312,142.43,70.37,99.7,119.64,-29.42,29.42
IDBI,IDBI Bank Limited,PSU,108535.0805504,198.55,94.82,138.99,166.78,-31.78,31.78
CANBK,Canara Bank,PSU,104956.493824,239.4,111.46,167.58,201.1,-33.49,33.49
INDIANB,Indian Bank,PSU,85410.971648,651.8,624.85,456.26,547.51,36.95,36.95
BEL,Bharat Electronics Limited,PSU,285593.1215872,397.4,394.2,278.18,333.82,41.71,41.71
PNB,Punjab National Bank,PSU,126628.7771648,277.08,106.61,193.96,232.75,-45.03,45.03
UNIONBANK,Union Bank of India,PSU,117023.1525376,417.9,146.24,292.53,351.04,-50.01,50.01
BANKINDIA,Bank of India,PSU,56626.1121024,575.75,121.19,403.02,483.63,-69.93,69.93
RAYMOND,Raymond Limited,Non-PSU,4107.5531776,3229.5,591.45,2583.6,3100.32,-77.11,77.11
RELINFRA,Reliance Infrastructure Limited,Non-PSU,14719.3397248,2585.65,384.55,2068.52,2482.22,-81.41,81.41
KESORAMIND,Kesoram Industries Limited,Non-PSU,197.5823104,399.25,6.99,319.4,383.28,-97.81,97.81
