Symbol,Company Name,Type,MarketCap,All-Time High (ATH),Current Market Price (CMP),Buy Trigger Price,Sell Trigger Price,CMP Proximity to Buy (%),ClosenessAbs (%)
BAJAJHLDNG,Bajaj Holdings & Investment Limited,Non-PSU,158605.0760704,14382.0,13978.0,11505.6,13806.72,21.49,21.49
BAJFINANCE,Bajaj Finance Limited,Non-PSU,581890.473984,960.75,938.0,768.6,922.32,22.04,22.04
ICICIBANK,ICICI Bank Limited,Non-PSU,1041195.1783936,1460.6,1426.9,1168.48,1402.18,22.12,22.12
BPCL,Bharat Petroleum Corporation Limited,PSU,137400.614912,369.95,316.4,258.97,310.76,22.18,22.18
HDFCBANK,HDFC Bank Limited,Non-PSU,1515850.4062976,1978.9,1935.4,1583.12,1899.74,22.25,22.25
BHARTIARTL,Bharti Airtel Limited,Non-PSU,1120790.2756864,1901.0,1861.3,1520.8,1824.96,22.39,22.39
BAJAJFINSV,Bajaj Finserv Limited,Non-PSU,317403.0114816,3269.25,2028.2,2615.4,3138.48,-22.45,22.45
ADANIENT,Adani Enterprises Limited,Non-PSU,292586.0487168,4165.3,2544.0,3332.24,3998.69,-23.65,23.65
HYUNDAI,Hyundai Motor India Limited,Non-PSU,151222.0000256,1956.4,1939.4,1565.12,1878.14,23.91,23.91
ASTERDM,Aster DM Healthcare Limited,Non-PSU,29887.3126912,589.85,585.95,471.88,566.26,24.17,24.17
MUTHOOTFIN,Muthoot Finance Limited,Non-PSU,98226.176,2633.3,2633.3,2106.64,2527.97,25.0,25.0
SBIN,State Bank of India,PSU,725616.2172928,905.65,792.5,633.96,760.75,25.01,25.01
HINDPETRO,Hindustan Petroleum Corporation Limited,PSU,86612.9149952,448.5,395.35,313.95,376.74,25.93,25.93
TATAMOTORS,Tata Motors Limited,Non-PSU,261751.8063616,1161.85,686.65,929.48,1115.38,-26.13,26.13
HAL,Hindustan Aeronautics Limited,PSU,333671.8778368,5621.95,5063.7,3935.37,4722.44,28.67,28.67
NMDC,NMDC Limited,PSU,63731.9053312,142.43,70.51,99.7,119.64,-29.28,29.28
IDBI,IDBI Bank Limited,PSU,108535.0805504,198.55,94.42,138.99,166.78,-32.06,32.06
CANBK,Canara Bank,PSU,104956.493824,239.4,111.24,167.58,201.1,-33.62,33.62
INDIANB,Indian Bank,PSU,85410.971648,651.8,632.7,456.26,547.51,38.67,38.67
BEL,Bharat Electronics Limited,PSU,285593.1215872,403.85,403.85,282.7,339.23,42.86,42.86
PNB,Punjab National Bank,PSU,126628.7771648,277.08,106.79,193.96,232.75,-44.94,44.94
UNIONBANK,Union Bank of India,PSU,117023.1525376,417.9,146.97,292.53,351.04,-49.76,49.76
BANKINDIA,Bank of India,PSU,56626.1121024,575.75,121.55,403.02,483.63,-69.84,69.84
RAYMOND,Raymond Limited,Non-PSU,4107.5531776,3229.5,592.95,2583.6,3100.32,-77.05,77.05
RELINFRA,Reliance Infrastructure Limited,Non-PSU,14719.3397248,2585.65,380.9,2068.52,2482.22,-81.59,81.59
KESORAMIND,Kesoram Industries Limited,Non-PSU,197.5823104,399.25,6.85,319.4,383.28,-97.86,97.86
