Symbol,Company,Sector,Industry,Market_Cap,Net_Profit_Cr,ROCE_Pct,ROE_Pct,Debt_to_Equity,Latest_Q_Profit_Cr,Public_Holding_Pct,Is_Bank_Finance,Is_PSU,Is_Highest_Quarter,Passes_Criteria
AIIL,Authum Investment & Infrastructure Limited,Financial Services,Capital Markets,530955567104,4241.41,23.56,27.51,0.2029,766.87,19.53,True,False,False,True
AIRAN,Airan Limited,Technology,Information Technology Services,2157845248,18.48,3.87,1.62,0.0068,0.75,27.74,False,False,False,False
AIROLAM,Airo Lam Limited,Consumer Cyclical,"Furnishings, Fixtures & Appliances",1486248192,2.7,4.05,10.35,1.1764,2.78,69.93,False,False,False,False
AJANTPHARM,Ajanta Pharma Limited,Healthcare,Drug Manufacturers - Specialty & Generic,354742534144,920.39,14.32,24.37,0.057,255.34,33.5,False,False,False,False
AJAXENGG,AJAXENGG,Industrials,Farm & Heavy Construction Machinery,68295139328,260.1,13.1,22.33,0.0004,39.07,17.91,False,False,False,False
AJMERA,Ajmera Realty & Infra India Limited,Real Estate,Real Estate - Development,38412541952,125.94,6.84,10.55,0.4719,30.37,23.75,False,False,False,False
AJOONI,Ajooni Biotech Limited,Consumer Defensive,Packaged Foods,725145536,3.37,3.13,4.55,0.0988,1.54,50.99,False,False,False,False
AKASH,Akash Infra-Projects Limited,Industrials,Engineering & Construction,488170432,0.89,1.86,1.85,1.0289,1.09,24.96,False,False,False,False
AKG,AKG Exim Limited,Industrials,Industrial Distribution,397524960,0.86,1.81,1.26,0.2064,0.11,75.88,False,False,False,False
AKI,AKI India Limited,Consumer Cyclical,Footwear & Accessories,647240704,1.68,1.52,2.07,0.2603,0.77,34.85,False,False,False,False
AKSHAR,Akshar Spintex Limited,Consumer Cyclical,Textile Manufacturing,393734240,4.45,-5.62,-10.44,0.0575,1.97,106.41,False,False,False,False
AKSHARCHEM,AksharChem (India) Limited,Basic Materials,Specialty Chemicals,1882155136,4.77,0.94,0.73,0.2844,1.37,28.76,False,False,False,False
AKSHOPTFBR,Aksh Optifibre Limited,Technology,Communication Equipment,1002219456,25.97,-2.76,-179.52,0.0,3.05,72.19,False,False,False,False
AKUMS,AKUMS,Healthcare,Drug Manufacturers - Specialty & Generic,68677177344,338.18,3.85,10.75,0.0285,40.78,19.85,False,False,False,False
AKZOINDIA,Akzo Nobel India Limited,Basic Materials,Specialty Chemicals,143957491712,429.5,8.99,108.16,0.0316,91.0,33.37,False,False,False,False
ALANKIT,Alankit Limited,Technology,Information Technology Services,2862409984,19.86,0.53,6.55,0.0741,4.33,53.78,False,False,False,False
ALBERTDAVD,Albert David Limited,Healthcare,Drug Manufacturers - Specialty & Generic,4298337280,17.2,-2.36,-3.74,0.1051,3.3,35.93,False,False,False,False
ALEMBICLTD,Alembic Limited,Real Estate,Real Estate - Development,25298145280,310.68,2.07,13.55,0.005,128.49,26.46,False,False,False,False
