Symbol,Company,Sector,Industry,Market_Cap,Net_Profit_Cr,ROCE_Pct,ROE_Pct,Debt_to_Equity,Latest_Q_Profit_Cr,Public_Holding_Pct,Is_Bank_Finance,Is_PSU,Is_Highest_Quarter,Passes_Criteria
ASHOKAMET,Ashoka Metcast Limited,Basic Materials,Steel,385688288,5.49,0.86,3.88,0.2593,2.96,41.74,False,False,False,False
ASHOKLEY,Ashok Leyland Limited,Industrials,Farm & Heavy Construction Machinery,1083843674112,3106.8,7.85,23.67,3.2789,755.77,57.15,False,False,False,False
ASIANENE,Asian Energy Services Limited,Energy,Oil & Gas Equipment & Services,11546980352,42.12,4.84,8.42,0.2383,3.8,34.2,False,False,False,False
ASIANHOTNR,Asian Hotels (North) Limited,Consumer Cyclical,Lodging,6427353600,187.26,2.21,204.88,3.3849,63.53,26.7,False,False,False,False
ASIANPAINT,Asian Paints Limited,Basic Materials,Specialty Chemicals,2671461007360,3667.23,10.36,20.39,0.1761,993.59,46.36,False,False,False,False
ASIANTILES,Asian Granito India Limited,Industrials,Building Products & Equipment,16704480256,27.54,1.62,3.26,0.2009,16.29,70.04,False,False,False,False
ASKAUTOLTD,ASKAUTOLTD,Consumer Cyclical,Auto Parts,92706299904,247.62,11.15,25.91,0.5276,66.07,23.97,False,False,False,False
ASMS,Bartronics India Limited,Technology,Information Technology Services,3590959616,1.75,-1.21,7.2,0.0056,1.0,26.57,False,False,False,False
ASPINWALL,Aspinwall and Company Limited,Consumer Defensive,Farm Products,1800160768,14.53,0.41,3.55,0.4371,2.8,31.04,False,False,False,False
ASTEC,Astec LifeSciences Limited,Basic Materials,Agricultural Inputs,14812848128,134.75,-4.45,-32.27,0.8861,33.04,22.14,False,False,False,False
ASTERDM,Aster DM Healthcare Limited,Healthcare,Medical Care Facilities,317956816896,5377.83,5.04,8.71,0.4379,85.52,37.2,False,False,False,False
ASTRAL,Astral Limited,Industrials,Building Products & Equipment,396608274432,523.8,8.71,13.98,0.0677,81.1,44.64,False,False,False,False
ASTRAMICRO,Astra Microwave Products Limited,Technology,Communication Equipment,95400738816,153.51,9.08,15.03,0.2389,23.9,78.46,False,False,False,False
ASTRAZEN,AstraZeneca Pharma India Limited,Healthcare,Drug Manufacturers - Specialty & Generic,210752585728,115.74,12.02,26.94,0.0435,54.22,18.41,False,False,False,False
ASTRON,Astron Paper & Board Mill Limited,Basic Materials,Paper & Paper Products,280704992,56.71,-6.64,-46.51,0.9428,4.75,32.18,False,False,False,False
ATALREAL,Atal Realtech Limited,Industrials,Engineering & Construction,3235915520,3.54,4.37,4.78,0.2386,1.04,48.54,False,False,False,False
ATAM,Atam Valves Limited,Industrials,Specialty Industrial Machinery,946156032,6.3,10.66,16.61,0.3353,0.9,44.73,False,False,False,False
ATGL,Adani Total Gas Limited,Utilities,Utilities - Regulated Gas,620457885696,654.41,7.22,14.86,0.4451,165.24,20.18,False,False,False,False
ATHERENERG,Ather Energy Limited,Consumer Cyclical,Auto Manufacturers,256864550912,1059.7,0.0,0.0,0.1581,154.1,37.02,False,False,False,False
ATL,Allcargo Terminals Limited,Industrials,Integrated Freight & Logistics,7818911744,30.48,5.42,10.32,2.087,11.3,28.4,False,False,False,False
ATLANTAA,Atlantaa Limited,Industrials,Infrastructure Operations,3840148480,42.57,-1.71,4.5,1.5204,20.82,19.27,False,False,False,False
ATLANTAELE,ATLANTAELE,Industrials,Electrical Equipment & Parts,66811629568,104.24,0.0,0.0,0.4626,25.1,0.85,False,False,False,False
ATLASCYCLE,Atlas Cycles (Haryana) Limited,Consumer Cyclical,Leisure,665253120,9.51,-1.13,-0.71,0.0235,2.39,51.31,False,False,False,False
