ticker,year,sales,book_value,eps,sales_growth_pct,roce_pct,pb_ratio,book_value_growth_pct,eps_growth_pct,promoter_holding_pct,ps_ratio,pcf_ratio,promoter_pledging_pct,quality_turnover_pct,interest_coverage_ratio,sector,market_cap
INFY,2007,,24.63,,,,9.1,,,,6.7,,,,,Technology,5263826878464
INFY,2008,,30.15,,,,4.6,22.411693057247263,,,3.3,,,,,Technology,5263826878464
INFY,2009,,39.83,,,,8.2,32.106135986732994,,,6.7,,,,,Technology,5263826878464
INFY,2010,,50.21,,,,8.6,26.0607582224454,,,7.5,,,,,Technology,5263826878464
INFY,2011,,56.55,,,,6.1,12.62696673969328,,,5.3,,,,,Technology,5263826878464
INFY,2012,,78.4,,,,3.7,38.638373121131764,,,3.5,,,,,Technology,5263826878464
INFY,2013,,94.03,,,,4.7,19.936224489795904,,,4.5,,,,,Technology,5263826878464
INFY,2014,50133.0,112.73,23.31,,36.0,4.4,19.887270020206316,,,4.3,21.941160305343512,,5.313865118784034,1487.7777777777778,Technology,5263826878464
INFY,2015,53319.0,126.4,26.93,6.355095446113346,36.0,4.4,12.126319524527629,15.529815529815538,,4.4,28.08614868909374,,6.432978863069449,1240.25,Technology,5263826878464
INFY,2016,62441.0,142.62,29.36,17.10834786848965,33.0,3.6,12.832278481012649,9.023393984404017,,3.5,21.79332867969685,,4.996716900754312,1240.25,Technology,5263826878464
INFY,2017,68484.0,132.73,31.24,9.677935971557151,30.0,3.3,-6.93451128873932,6.4032697547683926,12.74,3.3,19.599098083427283,,4.453595000292039,1240.25,Technology,5263826878464
INFY,2018,70522.0,148.76,36.69,2.9758775772443125,30.0,4.4,12.077149099676031,17.445582586427655,12.879999999999997,3.8,20.274141322439096,,4.694988797821956,1240.25,Technology,5263826878464
INFY,2019,82675.0,142.91,35.26,17.232920223476356,32.0,5.2,-3.9325087389083024,-3.8975197601526346,12.839999999999996,3.6,20.054578532443905,,3.485938917447838,1240.25,Technology,5263826878464
INFY,2020,90791.0,168.13,38.96,9.816752343513757,32.0,7.4,17.647470435938708,10.493477027793553,13.15,5.6,29.902346644709755,,3.0873104162306837,130.98235294117646,Technology,5263826878464
INFY,2021,100472.0,165.03,45.42,10.662951173574475,35.0,11.4,-1.8438113364658282,16.58110882956878,12.950000000000003,7.2,31.14874267998622,,2.1906600844016246,143.02051282051283,Technology,5263826878464
INFY,2022,121641.0,176.56,52.56,21.069551715900946,37.0,7.9,6.986608495425073,15.719947159841485,13.129999999999999,4.7,23.93605610215617,,1.8866993858978471,157.455,Technology,5263826878464
INFY,2023,146767.0,192.92,58.08,20.65586438782976,40.0,7.9,9.265971907566817,10.502283105022814,15.150000000000004,4.2,27.436747229269596,,1.8403319547309682,123.69718309859155,Technology,5263826878464
INFY,2024,153670.0,212.64,63.2,4.7033733741236095,40.0,8.8,10.221853618080035,8.81542699724518,14.720000000000002,5.1,31.08754462514875,,3.065660180907139,77.5,Technology,5263826878464
INFY,2025,162990.0,199.85,64.32,6.064944361293678,38.0,6.7,-6.01486079759217,1.7721518987341645,14.520000000000003,4.0,18.26525466464952,0.0,2.2087244616234125,94.3173076923077,Technology,5263826878464
INFY,2026,162990.0,204.77,64.32,0.0,38.0,6.3,2.4618463847885907,0.0,14.520000000000003,3.0,,0.0,2.2087244616234125,94.3173076923077,Technology,5263826878464
RELIANCE,2005,,,,,,,,,,,,,,,Energy,18275603841024
RELIANCE,2006,,42.91,,,,3.4,,,,2.1,,,,,Energy,18275603841024
RELIANCE,2007,,57.32,,,,5.7,33.581915637380575,,,3.6,,,,,Energy,18275603841024
RELIANCE,2008,,68.94,,,,2.0,20.272156315422187,,,1.4,,,,,Energy,18275603841024
RELIANCE,2009,,90.24,,,,2.8,30.89643167972149,,,2.3,,,,,Energy,18275603841024
RELIANCE,2010,,101.05,,,,2.4,11.979166666666675,,,1.6,,,,,Energy,18275603841024
RELIANCE,2011,,110.34,,,,1.4,9.193468579910945,,,0.8,,,,,Energy,18275603841024
RELIANCE,2012,,121.41,,,,1.6,10.03262642740619,,,0.7,,,,,Energy,18275603841024
RELIANCE,2013,,132.16,,,,1.5,8.854295362820185,,,0.7,,,,,Energy,18275603841024
RELIANCE,2014,433521.0,152.22,16.31,,10.0,1.3,15.178571428571441,,,0.6,6.012634936779085,,2.0448836388548655,9.107142857142858,Energy,18275603841024
RELIANCE,2015,374372.0,167.55,17.07,-13.643860389692774,9.0,1.4,10.070949940875051,4.659717964439003,,1.0,10.89113865130622,,2.2779481371470087,11.293425814234016,Energy,18275603841024
RELIANCE,2016,272583.0,184.16,21.51,-27.189266291282465,10.0,1.3,9.913458669053998,26.010544815465742,,1.3,9.29243981748571,,4.480103307983256,11.31969655919805,Energy,18275603841024
RELIANCE,2017,303954.0,204.53,21.55,11.508788148930794,10.0,2.0,11.061033883579508,0.18596001859598754,46.309999999999995,1.7,10.428290615539858,,3.0340117254584573,12.030917121330216,Energy,18275603841024
RELIANCE,2018,390823.0,225.08,26.69,28.579653500200685,11.0,2.3,10.047425805505306,23.851508120649644,47.48,1.4,7.656868973817153,,2.525184034716483,7.987456532538499,Energy,18275603841024
RELIANCE,2019,568337.0,299.76,29.28,45.420561225925795,12.0,2.3,33.17931402168117,9.704008992131886,47.29,1.6,21.47402824351769,,1.4790520413064783,5.107608366171567,Energy,18275603841024
RELIANCE,2020,596679.0,483.82,29.1,4.986829996991227,11.0,1.9,61.4024552975714,-0.6147540983606592,50.06999999999999,2.4,15.093537949134141,,1.436283160627406,4.052571843646434,Energy,18275603841024
RELIANCE,2021,466307.0,585.07,38.75,-21.849604226057895,8.0,1.9,20.927204332189664,33.161512027491405,50.57999999999999,2.6,44.97359596409229,,4.810564713804425,3.8128274104488176,Energy,18275603841024
RELIANCE,2022,694673.0,583.89,44.87,48.97331586272562,8.0,2.0,-0.20168526842943013,15.793548387096767,50.65999999999999,1.9,11.927980009760153,,2.8214713973337093,7.445213933077345,Energy,18275603841024
RELIANCE,2023,876396.0,555.17,49.29,26.159502384575184,9.0,2.3,-4.918734693178517,9.850679741475377,50.41999999999999,2.0,15.237429584811183,,1.3715261137659231,7.271881866026264,Energy,18275603841024
RELIANCE,2024,899041.0,605.58,51.45,2.58387760783938,10.0,2.0,9.08010159050383,4.382227632379809,50.30999999999999,1.8,10.191411189762452,,1.756538355870311,7.02906825849987,Energy,18275603841024
RELIANCE,2025,962820.0,648.28,51.47,7.094114728916701,10.0,2.4,7.051091515571839,0.03887269193389997,50.019999999999996,2.1,11.314426730385053,0.0,1.8512286824120812,6.823437306852363,Energy,18275603841024
RELIANCE,2026,962820.0,648.28,51.47,0.0,10.0,2.1,0.0,0.0,50.019999999999996,1.8,,0.0,1.8512286824120812,6.823437306852363,Energy,18275603841024
SBIN,2005,,,,,,,,,,,,,,,Financial Services,9400460771328
SBIN,2006,,58.91,,,,2.0,,,,1.5,,,,,Financial Services,9400460771328
SBIN,2007,,67.35,,,,3.3,14.326939399083338,,,2.3,,,,,Financial Services,9400460771328
SBIN,2008,,96.97,,,,1.3,43.979213066072774,,,1.0,,,,,Financial Services,9400460771328
SBIN,2009,,114.02,,,,2.0,17.582757553882633,,,1.5,,,,,Financial Services,9400460771328
SBIN,2010,,130.95,,,,2.1,14.848272232941584,,,1.6,,,,,Financial Services,9400460771328
SBIN,2011,,131.45,,,,1.2,0.3818251240931714,,,0.8,,,,,Financial Services,9400460771328
SBIN,2012,,158.31,,,,1.5,20.43362495245342,,,1.0,,,,,Financial Services,9400460771328
SBIN,2013,,182.79,,,,1.0,15.46333143831722,,,0.7,,,,,Financial Services,9400460771328
SBIN,2014,,197.4,18.99,,,1.6,7.992778598391603,,,1.1,,,,,Financial Services,9400460771328
SBIN,2015,,234.26,22.76,,,1.0,18.672745694022286,19.852553975776743,,0.8,,,,,Financial Services,9400460771328
SBIN,2016,,280.94,15.75,,,0.9,19.926577307265436,-30.799648506151144,,0.9,,,,,Financial Services,9400460771328
SBIN,2017,,264.2,0.3,,,1.1,-5.958567665693748,-98.09523809523809,62.22,1.1,,,,,Financial Services,9400460771328
SBIN,2018,,260.38,-5.11,,,1.1,-1.4458743376230099,-1803.3333333333335,58.86,1.1,,,,,Financial Services,9400460771328
SBIN,2019,,278.28,2.58,,,1.2,6.874567939165832,-150.48923679060664,57.92,1.1,,,,,Financial Services,9400460771328
SBIN,2020,,306.2,22.15,,,0.9,10.033060227109392,758.5271317829456,57.63,0.9,,,,,Financial Services,9400460771328
SBIN,2021,,338.24,25.11,,,1.4,10.463749183540184,13.363431151241546,57.63,1.5,,,,,Financial Services,9400460771328
SBIN,2022,,393.27,39.64,,,1.6,16.269512771996197,57.86539227399443,57.59,1.8,,,,,Financial Services,9400460771328
SBIN,2023,,454.98,62.35,,,1.4,15.691509649858881,57.29061553985873,57.49,1.4,,,,,Financial Services,9400460771328
SBIN,2024,,538.05,75.17,,,1.5,18.257945404193563,20.561347233360074,57.54,1.5,,,,,Financial Services,9400460771328
SBIN,2025,,641.36,86.91,,,1.6,19.200817767865463,15.617932685911917,55.5,1.8,,0.0,,,Financial Services,9400460771328
SBIN,2026,,641.36,86.91,,,1.7,0.0,0.0,55.5,1.9,,0.0,,,Financial Services,9400460771328
TCS,2005,,,,,,,,,,,,,,,Technology,8866846736384
TCS,2006,,,,,,,,,,7.7,,,,,Technology,8866846736384
TCS,2007,,22.61,,,,12.0,,,,5.1,,,,,Technology,8866846736384
TCS,2008,,31.17,,,,3.8,37.859354268023004,,,1.8,,,,,Technology,8866846736384
TCS,2009,,39.85,,,,9.4,27.847289059993585,,,5.0,,,,,Technology,8866846736384
TCS,2010,,46.92,,,,12.4,17.741530740276048,,,6.5,,,,,Technology,8866846736384
TCS,2011,,62.35,,,,9.3,32.885763000852506,,,5.4,,,,,Technology,8866846736384
