Symbol,TTM_Net_Profit,Max_Annual_Net_Profit,TTM_Net_Sales,Max_Annual_Net_Sales
ARCHIES,-5.97,4.12,50.24,194.51
ARE&M,979.0,970.0,14240.0,13549.0
ARENTERP,-0.06,0.72,0.57,1.9
ARFIN,16.0,22.0,724.0,625.0
ARIES,43.0,38.0,745.0,718.0
ARIHANT,29.0,31.0,299.0,307.0
ARIHANTCAP,39.0,66.0,229.0,241.0
ARIHANTSUP,2.0,40.0,105.0,151.0
ARIS,42.0,25.0,658.0,656.0
ARKADE,-4.0,157.0,804.0,816.0
ARMANFIN,43.0,43.0,231.0,216.0
AROGRANITE,-19.0,17.0,67.0,253.0
ARROWGREEN,59.0,62.0,201.0,201.0
ARSHIYA,-2.08,401.57,18.15,301.7
ARSSBL,132.0,132.0,976.0,931.0
ARTEMISMED,113.0,103.0,1093.0,1060.0
ARTNIRMAN,0.39,1.99,33.84,81.13
ARVEE,4.05,4.12,41.26,61.35
ARVIND,277.0,377.0,7465.0,7723.0
ARVINDFASN,9.0,62.0,728.0,1010.0
ARVSMART,68.0,55.0,310.0,238.0
ASAHIINDIA,428.0,389.0,4853.0,4676.0
ASAHISONG,34.0,33.0,374.0,401.0
ASAL,30.0,52.0,971.0,891.0
ASALCBR,83.0,88.0,1034.0,1075.0
ASHAPURMIN,150.0,393.0,437.0,749.0
ASHIANA,124.0,124.0,872.0,1063.0
ASHIKAG,60.0,45.0,162.0,94.0
ASHIMASYN,-18.0,126.0,18.0,336.0
ASHOKA,321.0,671.0,5789.0,7727.0
ASHOKAMET,0.21,2.39,3.53,19.17
ASHOKLEY,3581.0,3566.0,44917.0,44007.0
ASIANENE,48.0,63.0,526.0,492.0
ASIANHOTNR,-92.0,187.0,348.0,341.0
ASIANPAINT,4621.0,5315.0,32084.0,31227.0
ASIANTILES,0.0,88.0,1113.0,1354.0
ASKAUTOLTD,237.0,230.0,3565.0,3305.0
ASMS,7.0,110.0,107.0,104.0
ASPINWALL,15.0,24.0,429.0,407.0
ASTAR,28.0,66.0,2198.0,3427.0
ASTEC,-67.0,90.0,441.0,677.0
ASTERDM,173.0,6209.0,2728.0,2616.0
ASTRAL,650.0,611.0,6068.0,5908.0
ASTRAMICRO,175.0,178.0,1135.0,1156.0
ASTRAZEN,170.0,188.0,2432.0,2276.0
ASTRON,,24.0,,512.0
ATALREAL,7.0,6.0,120.0,120.0
ATAM,1.82,7.67,47.21,60.23
ATGL,608.0,653.0,6235.0,5864.0
ATHERENERG,-390.0,-220.0,4244.0,3672.0
ATL,48.0,61.0,581.0,564.0
ATLANTAA,-0.4,85.58,29.16,496.16
ATLANTAELE,239.0,217.0,2003.0,1851.0
ATLASCYCLE,-8.37,9.51,6.46,684.28
ATUL,698.0,640.0,5848.0,5564.0
ATULAUTO,54.0,54.0,832.0,786.0
AUBANK,2856.0,2641.0,19561.0,18636.0
AURIONPRO,104.0,103.0,872.0,888.0
AUROPHARMA,2593.0,3113.0,11123.0,15824.0
AURUM,65.0,2537.0,3.0,16.0
AURUS,1.78,3.54,15.95,436.84
AUSOMENT,10.0,21.0,328.0,2393.0
AUTOAXLES,174.0,166.0,2205.0,2324.0
AUTOIND,27.0,39.0,936.0,822.0
AVADHSUGAR,66.0,203.0,2756.0,2798.0
AVALON,95.0,89.0,865.0,821.0
AVANTEL,26.0,60.0,240.0,248.0
AVANTIFEED,455.0,538.0,4705.0,4419.0
AVG,27.0,33.0,563.0,556.0
AVL,139.0,117.0,2924.0,2672.0
AVONMORE,0.31,20.68,9.96,35.35
AVROIND,3.84,4.21,92.82,92.92
AVTNPL,68.0,75.0,790.0,684.0
AWFIS,80.0,67.0,1305.0,1229.0
AWHCL,11.0,37.0,652.0,640.0
AWL,1089.0,1216.0,74732.0,72308.0
AXISBANK,25764.0,26373.0,129954.0,127032.0
AXISCADES,-9.0,41.0,234.0,398.0
AXITA,4.0,20.0,272.0,1102.0
AYE,238.0,194.0,1872.0,1815.0
AYMSYNTEX,19.0,51.0,1390.0,1491.0
AZAD,139.0,132.0,626.0,590.0
BAFNAPH,8.0,11.0,143.0,152.0
BAGFILMS,3.94,3.8,45.05,44.05
BAIDFIN,15.0,15.0,95.0,97.0
BAJAJ-AUTO,10712.0,9825.0,63392.0,58732.0
BAJAJCON,225.0,226.0,1188.0,1092.0
BAJAJELEC,-31.0,216.0,4487.0,6656.0
BAJAJFINSV,2219.0,1559.0,3115.0,2299.0
BAJAJHCARE,18.0,83.0,628.0,680.0
BAJAJHFL,2692.0,2560.0,11604.0,11150.0
BAJAJHIND,129.0,138.0,5294.0,6804.0
BAJAJHLDNG,3016.0,4708.0,3222.0,3184.0
BAJAJINDEF,26.0,34.0,186.0,196.0
BAJAJST,19.0,76.0,489.0,535.0
BAJEL,28.0,27.0,2751.0,2792.0
BAJFINANCE,19016.0,17804.0,73287.0,71267.0
BALAJEE,8.0,17.0,384.0,359.0
BALAJITELE,-24.0,91.0,378.0,621.0
BALAMINES,198.0,308.0,1395.0,1914.0
BALAXI,3.7,16.22,79.72,108.14
BALKRISHNA,-6.55,16.48,5.38,242.38
BALKRISIND,1367.0,1628.0,11504.0,10820.0
BALMLAWRIE,247.0,246.0,2766.0,2736.0
BALPHARMA,8.0,9.0,334.0,339.0
BALRAMCHIN,343.0,592.0,6366.0,6271.0
BALUFORGE,157.0,153.0,672.0,647.0
BANARBEADS,1.89,4.32,28.34,31.56
BANARISUG,122.0,152.0,1670.0,2526.0
BANCOINDIA,415.0,419.0,1286.0,1245.0
BANDHANBNK,1353.0,3024.0,21844.0,21948.0
BANG,3.0,7.0,232.0,223.0
BANKA,0.62,6.05,63.56,59.76
BANKBARODA,16758.0,20021.0,129113.0,126994.0
BANKINDIA,11343.0,10527.0,76758.0,75161.0
BANSALWIRE,116.0,130.0,4238.0,4011.0
BANSWRAS,34.0,111.0,1366.0,1499.0
BASF,632.0,595.0,16071.0,14985.0
BASML,24.0,49.0,869.0,1285.0
BATAINDIA,146.0,330.0,3553.0,3515.0
BATLIBOI,-0.0,9.0,320.0,325.0
BAYERCROP,732.0,758.0,5595.0,5675.0
BBL,112.0,134.0,2356.0,2274.0
BBOX,15.0,32.0,426.0,406.0
BBTC,185.0,211.0,293.0,302.0
BBTCL,36.0,24.0,638.0,609.0
BCG,0.0,9.0,436.0,492.0
BCLIND,82.0,85.0,1723.0,1988.0
BCONCEPTS,1.0,12.0,356.0,348.0
BCPL,6.1,8.29,79.76,131.96
BDL,521.0,613.0,2766.0,4887.0
BEARDSELL,11.0,11.0,268.0,261.0
BECTORFOOD,129.0,123.0,1968.0,1899.0
BEDMUTHA,17.0,196.0,1698.0,1467.0
BEEKAY,45.0,157.0,1267.0,1296.0
BEL,6128.0,6048.0,28596.0,27480.0
BELLACASA,18.0,20.0,446.0,416.0
BELRISE,490.0,478.0,7819.0,7528.0
BEML,184.0,294.0,4536.0,4351.0
BENGALASM,120.0,125.0,306.0,296.0
BEPL,199.0,349.0,1440.0,1398.0
BERGEPAINT,1171.0,1096.0,10784.0,10420.0
BESTAGRO,42.0,87.0,856.0,1798.0
BETA,16.0,22.0,215.0,225.0
BFINVEST,147.0,147.0,208.0,206.0
BFUTILITIE,-9.21,27.17,18.98,21.25
BGRENERGY,-1243.0,44.0,226.0,3438.0
BHAGCHEM,29.0,46.0,571.0,521.0
BHAGERIA,74.0,72.0,997.0,871.0
BHAGYANGR,1.53,39.34,5.58,1387.01
BHANDARI,7.0,8.0,268.0,283.0
BHARATCOAL,-117.0,1564.0,12911.0,15917.0
BHARATFORG,802.0,1425.0,8638.0,8969.0
BHARATGEAR,15.0,26.0,820.0,784.0
BHARATRAS,136.0,177.0,1203.0,1301.0
BHARATSE,46.0,42.0,2102.0,1951.0
BHARATWIRE,69.0,96.0,579.0,622.0
BHARTIARTL,15408.0,23502.0,124600.0,121493.0
BHARTIHEXA,1824.0,1733.0,9601.0,9354.0
BHEL,2415.0,1578.0,35993.0,33782.0
BI,-1.56,390.79,6.72,429.79
BIGBLOC,-3.98,16.04,91.29,113.82
BIKAJI,270.0,270.0,2872.0,2817.0
BIL,39.0,34.0,1192.0,1131.0
BILVYAPAR,0.42,19.13,0.0,260.6
BIMETAL,11.0,11.0,305.0,297.0
BIOCON,98.0,2848.0,2434.0,2588.0
BIOFILCHEM,0.48,2.79,34.32,40.04
BIRLACABLE,46.0,47.0,861.0,792.0
BIRLACORPN,213.0,429.0,5514.0,5697.0
BIRLAMONEY,54.0,74.0,487.0,469.0
BIRLANU,25.0,188.0,2479.0,2427.0
BIRLAPREC,15.0,15.0,239.0,253.0
BLACKBUCK,171.0,164.0,701.0,2230.0
BLACKROSE,29.0,30.0,352.0,341.0
BLAL,2.29,0.01,1.96,0.98
BLBLIMITED,27.0,33.0,781.0,746.0
BLIL,142.0,142.0,145.0,146.0
BLISSGVS,114.0,97.0,788.0,730.0
BLKASHYAP,19.0,66.0,1357.0,1348.0
BLS,147.0,103.0,235.0,210.0
BLSE,17.0,27.0,91.0,87.0
BLUECHIP,-0.39,0.69,0.18,7.33
BLUECOAST,-1.05,80.01,2.25,134.89
BLUEDART,279.0,376.0,6357.0,6141.0
BLUEJET,235.0,305.0,886.0,1030.0
BLUESTARCO,346.0,485.0,12131.0,11779.0
BLUESTONE,70.0,26.0,2682.0,2441.0
BLUSPRING,19.0,17.0,2369.0,2322.0
BMWVENTLTD,40.0,37.0,2403.0,2278.0
BNAGROCHEM,20.0,19.0,278.0,233.0
BNALTD,-5.0,18.0,151.0,163.0
BODALCHEM,65.0,144.0,2228.0,2011.0
BOHRAIND,-2.84,7.41,0.0,113.28
BOMDYEING,20.0,2948.0,1493.0,4430.0
BONLON,1.0,12.0,582.0,651.0
BORANA,69.0,65.0,408.0,389.0
BOROLTD,72.0,77.0,1222.0,1198.0
BORORENEW,381.0,166.0,1608.0,1530.0
BOROSCI,46.0,40.0,438.0,428.0
BOSCH-HCIL,5.0,100.0,2942.0,2756.0
BOSCHLTD,2357.0,2770.0,21088.0,20035.0
BPCL,13217.0,26674.0,493790.0,473125.0
BPL,-15.0,53.0,80.0,140.0
BRIGADE,342.0,455.0,2802.0,2624.0
BRIGHOTEL,92.0,82.0,456.0,454.0
BRITANNIA,2640.0,2562.0,18827.0,18446.0
BRNL,-150.0,29.0,6.0,91.0
BROOKS,4.57,10.63,83.19,85.74
BSE,2667.0,2334.0,5070.0,4801.0
BSHSL,29.0,27.0,374.0,358.0
BSL,4.0,17.0,669.0,667.0
BSOFT,412.0,302.0,3025.0,2822.0
BTML,3.55,5.26,54.47,64.15
BTTL,2.25,2.28,27.67,26.91
BUILDPRO,131.0,128.0,7145.0,6825.0
BUTTERFLY,48.0,52.0,970.0,1057.0
BVCL,5.0,10.0,214.0,232.0
BYKE,7.0,36.0,109.0,270.0
CALSOFT,15.0,11.0,25.0,20.0
CAMLINFINE,-35.0,48.0,869.0,886.0
CAMPUS,154.0,150.0,1816.0,1774.0
CAMS,454.0,441.0,1431.0,1412.0
CANBK,19290.0,19187.0,128320.0,126366.0
CANFINHOME,1130.0,1086.0,4292.0,4217.0
CANHLIFE,131.0,127.0,12275.0,11841.0
CANTABIL,97.0,96.0,873.0,853.0
CAPACITE,171.0,181.0,2250.0,2236.0
CAPILLARY,16.0,17.0,234.0,212.0
CAPITALSFB,151.0,141.0,1090.0,1049.0
CAPLIPOINT,420.0,397.0,759.0,752.0
CAPTRUST,-38.0,37.0,41.0,186.0
CARBORUNIV,359.0,416.0,3211.0,3063.0
CARERATING,179.0,174.0,400.0,388.0
CARRARO,130.0,128.0,2290.0,2239.0
CARTRADE,118.0,115.0,320.0,308.0
CARYSIL,67.0,64.0,517.0,505.0
CASTROLIND,1062.0,950.0,6219.0,5722.0
CCAVENUE,135.0,160.0,8962.0,7585.0
CCCL,-4.0,666.0,364.0,648.0
CCHHL,0.59,0.43,69.65,281.06
CCL,278.0,287.0,2258.0,2216.0
CDSL,461.0,468.0,985.0,960.0
CEATLTD,775.0,813.0,15857.0,15215.0
CEIGALL,325.0,305.0,3953.0,3869.0
CEINSYS,149.0,154.0,633.0,635.0
CELEBRITY,-11.0,21.0,158.0,364.0
CELLO,77.0,112.0,1091.0,1116.0
CEMPRO,594.0,594.0,10060.0,9983.0
CENTENKA,148.0,184.0,1858.0,2098.0
CENTEXT,12.0,11.0,513.0,479.0
CENTRALBK,4524.0,4369.0,37128.0,36026.0
CENTRUM,137.0,183.0,58.0,556.0
CENTUM,-119.0,58.0,993.0,973.0
CENTURYPLY,303.0,348.0,4977.0,4646.0
CERA,203.0,246.0,2097.0,2050.0
CEREBRAINT,-64.0,27.0,4.0,261.0
CESC,861.0,937.0,9853.0,9732.0
CEWATER,5.17,9.59,57.17,56.58
CGCL,989.0,825.0,4114.0,3645.0
CGPOWER,1394.0,1317.0,11748.0,11331.0
CHALET,548.0,665.0,2168.0,2570.0
CHAMBLFERT,2015.0,1950.0,20123.0,27773.0
CHEMBOND,9.0,151.0,224.0,232.0
CHEMBONDCH,12.0,10.0,74.0,74.0
CHEMCON,28.0,63.0,253.0,303.0
CHEMFAB,7.0,66.0,274.0,331.0
CHEMPLASTS,-1024.0,379.0,2267.0,2903.0
CHENNPETRO,4135.0,3534.0,76197.0,76271.0
CHEVIOT,68.0,79.0,598.0,571.0
CHOICEIN,,8.34,,77.86
CHOLAFIN,5737.0,5220.0,32570.0,31025.0
CHOLAHLDNG,73.0,730.0,90.0,4769.0
CIEINDIA,654.0,617.0,5185.0,4896.0
CIFL,44.0,40.0,243.0,227.0
CINELINE,12.0,12.0,251.0,237.0
CINEVISTA,6.11,6.1,26.83,57.79
CIPLA,3074.0,5158.0,19011.0,19045.0
CLCIND,-4.0,21.0,259.0,1142.0
CLEAN,248.0,304.0,803.0,936.0
CLEANMAX,984.0,767.0,7001.0,6003.0
CLEDUCATE,-26.0,13.0,269.0,289.0
CLSEL,125.0,118.0,1478.0,1495.0
