Symbol,Company Name,Sector,Industry,Market Cap,Net Profit (Cr),ROCE (%),ROE (%),Debt to Equity,Latest Quarter Profit (Cr),Last 3Q Profits (Cr),Public Holding (%),Is Bank/Finance,Is PSU,Passes Criteria,Screening Date
BALRAMCHIN,Balrampur Chini Mills Limited,Consumer Defensive,Confectioners,85031223296,436.92,7.25,10.85,0.1976,53.89,"51.57, 229.12, 70.47",58.44,False,False,False,2026-01-16
SEQUENT,Viyash Scientific Limited,Healthcare,Drug Manufacturers - Specialty & Generic,84412465152,21.88,4.91,6.64,0.5531,14.74,"14.31, 9.32, 3.44",22.03,False,False,False,2026-01-16
JAYNECOIND,Jayaswal Neco Industries Limited,Basic Materials,Steel,84321484800,112.68,10.26,15.8,0.908,93.02,"101.64, 76.93, 34.21",32.22,False,False,False,2026-01-16
INDIASHLTR,India Shelter Finance Corporation Limited,Financial Services,Mortgage Finance,84300832768,377.87,5.87,16.5,1.884,119.45,"108.13, 96.14, 90.07",41.07,True,False,False,2026-01-16
BIRLACORPN,Birla Corporation Limited,Basic Materials,Building Materials,84241465344,295.23,3.87,7.07,0.4472,90.48,"119.57, 256.61, 31.19",41.43,False,False,False,2026-01-16
BLUEJET,Blue Jet Healthcare Limited,Healthcare,Biotechnology,83913900032,305.2,19.32,32.33,0.0164,91.17,"110.09, 98.98, 58.35",19.11,False,False,False,2026-01-16
NESCO,Nesco Limited,Industrials,Conglomerates,83376840704,375.21,10.75,15.82,0.0391,118.91,"96.14, 88.61, 109.94",29.69,False,False,False,2026-01-16
ORKLAINDIA,ORKLAINDIA,Consumer Defensive,Packaged Foods,83022323712,0.0,0.0,0.0,0.0246,0.0,N/A,15.0,False,False,False,2026-01-16
STAR,Strides Pharma Science Limited,Healthcare,Drug Manufacturers - Specialty & Generic,82964652032,3593.46,6.8,16.45,0.6579,99.61,"82.19, 87.95, 71.84",61.51,False,False,False,2026-01-16
MTARTECH,MTAR Technologies Limited,Industrials,Specialty Industrial Machinery,82149638144,52.89,4.35,6.2,0.2506,10.81,"13.72, 15.96, 18.77",68.64,False,False,False,2026-01-16
TTKPRESTIG,TTK Prestige Limited,Consumer Cyclical,"Furnishings, Fixtures & Appliances",81845927936,112.44,4.46,5.52,0.0999,26.63,"40.63, 58.45, 52.87",29.01,False,False,False,2026-01-16
WEWORK,WEWORK,Real Estate,Real Estate Services,81754193920,0.0,0.0,0.0,23.7874,0.0,N/A,26.38,False,False,False,2026-01-16
ALKYLAMINE,Alkyl Amines Chemicals Limited,Basic Materials,Specialty Chemicals,81584988160,186.11,0.0,0.0,0.0039,49.44,"46.01, 43.76, 47.46",27.16,False,False,False,2026-01-16
MAPMYINDIA,C. E. Info Systems Limited,Technology,Software - Infrastructure,80701988864,147.19,11.02,18.66,0.0115,18.51,"46.11, 48.57, 32.44",31.43,False,False,False,2026-01-16
RELIGARE,Religare Enterprises Limited,Financial Services,Insurance - Life,80305111040,125.19,1.24,3.9,0.0807,38.83,"10.27, 99.06, 43.08",52.9,True,False,False,2026-01-16
KRBL,KRBL Limited,Consumer Defensive,Packaged Foods,80191569920,476.05,8.03,11.68,0.0129,172.11,"150.58, 154.21, 132.61",27.62,False,False,False,2026-01-16
PNGJL,PNGJL,Consumer Cyclical,Luxury Goods,79904858112,218.27,7.11,19.09,0.7591,79.31,"69.34, 61.99, 86.04",16.9,False,False,False,2026-01-16
MAHLIFE,Mahindra Lifespace Developers Limited,Real Estate,Real Estate - Development,79022268416,61.29,-2.04,6.16,0.0951,51.24,"85.08, 22.49, 14.02",42.96,False,False,False,2026-01-16
RATEGAIN,RateGain Travel Technologies Limited,Technology,Software - Application,78784995328,208.93,6.2,12.41,0.0082,51.01,"46.93, 54.81, 56.54",50.36,False,False,False,2026-01-16
EQUITASBNK,Equitas Small Finance Bank Limited,Financial Services,Banks - Regional,78689542144,147.05,-0.17,-1.54,0.5893,223.76,"42.11, 66.3, 25.76",90.75,True,False,False,2026-01-16
GENUSPOWER,Genus Power Infrastructures Limited,Industrials,Electrical Equipment & Parts,78447476736,311.38,9.76,25.52,0.9166,137.32,"123.31, 56.66, 83.08",24.93,False,False,False,2026-01-16
ARVIND,Arvind Limited,Consumer Cyclical,Textile Manufacturing,78409105408,353.49,5.24,11.23,0.3914,103.4,"53.24, 151.04, 103.42",57.96,False,False,False,2026-01-16
MARKSANS,Marksans Pharma Limited,Healthcare,Drug Manufacturers - General,78207000576,380.58,7.96,14.07,0.1224,98.25,"58.32, 90.54, 104.56",47.28,False,False,False,2026-01-16
TARIL,TARIL,Industrials,Electrical Equipment & Parts,78133157888,214.27,0.0,0.0,0.2672,73.85,"33.91, 67.35, 94.2",35.6,False,False,False,2026-01-16
TCI,Transport Corporation of India Limited,Industrials,Integrated Freight & Logistics,78123425792,412.38,8.44,19.64,0.1042,106.5,"114.08, 100.9, 106.4",28.63,False,False,False,2026-01-16
