Symbol,Company Name,Sector,Industry,Market Cap,Net Profit (Cr),ROCE (%),ROE (%),Debt to Equity,Latest Quarter Profit (Cr),Last 3Q Avg Profit (Cr),Public Holding (%),Is Bank/Finance,Is PSU,Passes Criteria,Screening Date
KOTAKBANK,Kotak Mahindra Bank Limited,Financial Services,Banks - Regional,4242010275840,22125.99,2.16,11.78,0.0,4472.18,4892.61,73.48,True,False,True,2026-01-08
SUNPHARMA,Sun Pharmaceutical Industries Limited,Healthcare,Drug Manufacturers - Specialty & Generic,4224508755968,10929.04,8.57,14.22,0.0668,2278.63,2697.81,44.37,False,False,False,2026-01-08
AXISBANK,Axis Bank Limited,Financial Services,Banks - Regional,3995797291008,28055.11,1.59,14.0,0.0,6243.72,7206.23,90.11,True,False,True,2026-01-08
TITAN,Titan Company Limited,Consumer Cyclical,Luxury Goods,3769055313920,3337.0,8.52,36.64,2.2302,1091.0,874.0,36.09,False,False,False,2026-01-08
ULTRACEMCO,UltraTech Cement Limited,Basic Materials,Building Materials,3548438069248,6039.11,5.46,10.52,0.3319,2225.9,1408.43,38.75,False,False,False,2026-01-08
ADANIPORTS,Adani Ports and Special Economic Zone Limited,Industrials,Marine Shipping,3376099885056,11092.31,7.34,18.59,0.8156,3314.59,2659.83,35.52,False,False,False,2026-01-08
NTPC,NTPC Limited,Utilities,Utilities - Regulated Electric,3339531845632,23422.46,4.42,13.1,1.2775,6010.6,5982.77,44.78,False,True,False,2026-01-08
BAJAJFINSV,Bajaj Finserv Ltd.,Financial Services,Financial Conglomerates,3207499350016,8872.31,4.99,15.1,2.3754,2244.1,2478.9,35.1,True,False,True,2026-01-08
BEL,Bharat Electronics Limited,Industrials,Aerospace & Defense,3038309515264,5321.44,10.47,29.01,0.0027,969.91,1510.15,48.08,False,True,False,2026-01-08
HAL,Hindustan Aeronautics Limited,Industrials,Aerospace & Defense,2995977977856,8364.13,4.16,24.79,0.0003,1669.07,2266.75,27.59,False,False,False,2026-01-08
ONGC,Oil and Natural Gas Corporation Limited,Energy,Oil & Gas Integrated,2911935922176,36225.62,5.08,10.98,0.438,10784.88,8582.86,30.77,False,False,False,2026-01-08
ADANIENT,Adani Enterprises Limited,Energy,Thermal Coal,2861998800896,7099.0,2.64,15.82,1.7777,734.41,1951.38,31.33,False,False,False,2026-01-08
JSWSTEEL,JSW Steel Limited,Basic Materials,Steel,2823340425216,3504.0,4.47,7.28,1.1874,2184.0,886.33,34.92,False,False,False,2026-01-08
ADANIPOWER,Adani Power Limited,Utilities,Utilities - Independent Power Producers,2755590094848,12938.77,8.61,19.98,0.8125,3384.86,3008.66,27.16,False,False,False,2026-01-08
WIPRO,Wipro Limited,Technology,Information Technology Services,2746628702208,13135.4,7.31,16.11,0.1874,3246.2,3417.93,29.09,False,False,False,2026-01-08
BAJAJ-AUTO,Bajaj Auto Limited,Consumer Cyclical,Auto Manufacturers,2725349425152,7324.73,14.69,25.57,0.5726,2122.03,2069.31,39.53,False,False,False,2026-01-08
ASIANPAINT,Asian Paints Limited,Basic Materials,Specialty Chemicals,2671461007360,3667.23,10.36,20.39,0.1761,993.59,967.46,46.36,False,False,False,2026-01-08
TMPV,Tata Motors Passenger Vehicles Limited,Consumer Cyclical,Auto Manufacturers,2646227550208,27830.0,3.64,9.95,0.5613,76170.0,7614.33,54.45,False,False,False,2026-01-08
COALINDIA,Coal India Limited,Energy,Thermal Coal,2620700229632,35358.16,8.13,30.58,0.1298,8743.38,8132.9,41.13,False,True,False,2026-01-08
ETERNAL,Eternal Limited,Consumer Cyclical,Internet Retail,2579983499264,527.0,-1.23,0.72,0.1087,25.0,91.33,74.71,False,False,False,2026-01-08
NESTLEIND,Nestlé India Limited,Consumer Defensive,Packaged Foods,2520114003968,3207.59,22.59,70.79,0.1075,646.59,820.33,36.43,False,False,True,2026-01-08
HINDZINC,Hindustan Zinc Limited,Basic Materials,Other Industrial Metals & Mining,2496107118592,10353.0,25.96,99.11,0.8817,2234.0,2669.33,10.23,False,False,False,2026-01-08
DMART,Avenue Supermarts Limited,Consumer Defensive,Discount Stores,2466148253696,2708.02,9.37,12.7,0.0703,772.97,644.73,22.49,False,False,False,2026-01-08
POWERGRID,Power Grid Corporation of India Limited,Utilities,Utilities - Regulated Electric,2411646418944,15521.44,6.05,15.92,1.4119,3630.58,3932.51,45.7,False,False,False,2026-01-08
VEDL,Vedanta Limited,Basic Materials,Other Industrial Metals & Mining,2356851245056,14988.0,9.71,35.05,1.9025,3185.0,3794.0,41.35,False,False,False,2026-01-08
TATASTEEL,Tata Steel Limited,Basic Materials,Steel,2246429114368,3420.51,3.85,7.17,0.997,3101.75,1235.04,65.09,False,False,False,2026-01-08
IOC,Indian Oil Corporation Limited,Energy,Oil & Gas Refining & Marketing,2208138002432,13597.84,4.57,13.17,0.7263,6813.71,3469.5,23.88,False,True,False,2026-01-08
SBILIFE,SBI Life Insurance Company Limited,Financial Services,Insurance - Life,2088794193920,2413.3,0.36,14.2,0.0,594.37,631.25,41.33,True,True,True,2026-01-08
EICHERMOT,Eicher Motors Limited,Consumer Cyclical,Auto Manufacturers,2071233560576,4734.44,10.11,24.87,0.0202,1369.45,1245.96,48.91,False,False,False,2026-01-08
HINDALCO,Hindalco Industries Limited,Basic Materials,Aluminum,2020443553792,16001.0,5.98,14.21,0.5757,4741.0,4340.67,62.77,False,False,False,2026-01-08
HYUNDAI,HYUNDAI,Consumer Cyclical,Auto Manufacturers,1909877899264,5640.21,15.03,36.78,0.0489,1369.23,1421.58,16.46,False,False,False,2026-01-08
INDIGO,InterGlobe Aviation Limited,Industrials,Airlines,1896809234432,7258.4,6.41,82.19,8.6646,2176.3,2167.67,52.24,False,False,False,2026-01-08
GRASIM,Grasim Industries Limited,Basic Materials,Building Materials,1894803439616,3705.68,3.18,5.83,1.2663,1418.68,807.49,53.44,False,False,False,2026-01-08
SHRIRAMFIN,Shriram Finance Limited,Financial Services,Credit Services,1868004458496,9553.82,3.43,17.32,2.7908,2159.4,2510.34,68.45,True,False,True,2026-01-08
JIOFIN,Jio Financial Services Limited,Financial Services,Asset Management,1864964636672,1612.59,1.1,1.2,0.078,324.66,433.32,51.35,True,False,False,2026-01-08
TVSMOTOR,TVS Motor Company Limited,Consumer Cyclical,Auto Manufacturers,1805499760640,2235.56,8.24,31.23,3.4608,610.04,591.56,48.33,False,False,False,2026-01-08
LTIM,LTIMindtree Limited,Technology,Information Technology Services,1783428939776,4598.7,11.68,21.79,0.1016,1254.1,1154.97,31.19,False,False,False,2026-01-08
DIVISLAB,Divi's Laboratories Limited,Healthcare,Drug Manufacturers - Specialty & Generic,1752225284096,2191.0,10.44,17.06,0.0058,545.0,587.0,44.88,False,False,False,2026-01-08
DLF,DLF Limited,Real Estate,Real Estate - Development,1714386763776,4367.62,1.81,10.29,0.0413,762.67,1240.67,24.36,False,False,False,2026-01-08
VBL,Varun Beverages Limited,Consumer Defensive,Beverages - Non-Alcoholic,1694038228992,2594.63,0.0,0.0,0.1155,1317.02,510.42,38.48,False,False,False,2026-01-08
HDFCLIFE,HDFC Life Insurance Company Limited,Financial Services,Insurance - Life,1635387179008,1810.82,0.39,11.65,0.1388,548.35,443.95,44.33,True,False,True,2026-01-08
ADANIGREEN,Adani Green Energy Limited,Utilities,Utilities - Renewable,1629303734272,1444.0,4.02,8.98,2.9622,713.0,332.67,16.89,False,False,False,2026-01-08
IRFC,Indian Railway Finance Corporation Limited,Financial Services,Credit Services,1624023236608,6502.0,1.37,12.7,7.3014,1745.69,1641.73,13.59,True,True,True,2026-01-08
TMCV,TMCV,Consumer Cyclical,Auto Manufacturers,1602550628352,22959.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,2026-01-08
BANKBARODA,Bank of Baroda Limited,Financial Services,Banks - Regional,1549441040384,20716.33,1.07,13.08,0.0,3469.16,5329.51,35.85,True,False,True,2026-01-08
MUTHOOTFIN,Muthoot Finance Limited,Financial Services,Credit Services,1547179261952,5332.9,5.28,23.81,3.6744,2420.63,1627.69,21.1,True,False,True,2026-01-08
BPCL,Bharat Petroleum Corporation Limited,Energy,Oil & Gas Refining & Marketing,1538217213952,13336.55,7.84,24.82,0.5639,6839.02,3498.33,42.7,False,True,False,2026-01-08
PIDILITIND,Pidilite Industries Limited,Basic Materials,Specialty Chemicals,1527385292800,2076.24,13.4,24.08,0.0454,672.41,503.11,33.67,False,False,False,2026-01-08
TATACAP,TATACAP,Financial Services,Asset Management,1494756360192,0.0,1.88,13.14,5.6797,0.0,0.0,15.88,True,False,False,2026-01-08
CHOLAFIN,Cholamandalam Investment and Finance Company Limited,Financial Services,Credit Services,1480292564992,4262.72,2.33,19.62,7.2431,1137.83,1105.19,50.0,True,False,True,2026-01-08
BRITANNIA,Britannia Industries Limited,Consumer Defensive,Packaged Foods,1453679181824,2178.73,20.03,66.23,0.5842,520.72,557.7,48.84,False,False,False,2026-01-08
TRENT,Trent Limited,Consumer Cyclical,Apparel Retail,1418870784000,1546.72,13.35,29.38,0.3779,376.86,415.03,53.62,False,False,False,2026-01-08
PNB,Punjab National Bank,Financial Services,Banks - Regional,1412323999744,18480.29,0.94,12.67,0.0,2119.88,4834.81,29.92,True,True,True,2026-01-08
TECHM,Tech Mahindra Limited,Technology,Information Technology Services,1397653372928,4251.5,8.4,16.27,0.0699,1140.6,1133.33,60.62,False,False,False,2026-01-08
CANBK,Canara Bank,Financial Services,Banks - Regional,1364770291712,17539.62,1.13,17.57,0.0,3194.95,4490.7,34.06,True,False,True,2026-01-08
TORNTPHARM,Torrent Pharmaceuticals Limited,Healthcare,Drug Manufacturers - Specialty & Generic,1362716655616,1911.25,13.02,26.83,0.334,591.0,516.42,30.75,False,False,False,2026-01-08
AMBUJACEM,Ambuja Cements Limited,Basic Materials,Building Materials,1351583137792,4167.43,3.14,11.12,0.0183,787.88,1183.71,32.12,False,False,False,2026-01-08
ICICIAMC,ICICIAMC,Unknown,Unknown,1343592333312,2650.66,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,2026-01-08
GODREJCP,Godrej Consumer Products Limited,Consumer Defensive,Household & Personal Products,1272097669120,1852.3,8.74,14.98,0.3382,452.45,467.2,35.48,False,False,False,2026-01-08
BAJAJHLDNG,Bajaj Holdings & Investment Limited,Financial Services,Asset Management,1249572028416,6520.67,0.7,11.79,0.0002,1559.02,2320.12,38.42,True,False,True,2026-01-08
IDEA,Vodafone Idea Limited,Communication Services,Telecom Services,1247477497856,27383.4,-1.22,0.0,0.0,5524.2,6794.5,24.8,False,False,False,2026-01-08
MOTHERSON,Samvardhana Motherson International Limited,Consumer Cyclical,Auto Parts,1246585290752,3803.0,3.44,9.55,0.4994,827.0,813.64,42.21,False,True,False,2026-01-08
UNIONBANK,Union Bank of India,Financial Services,Banks - Regional,1232522051584,18026.95,1.27,15.83,0.0,4427.94,4795.06,25.24,True,False,True,2026-01-08
SOLARINDS,Solar Industries India Limited,Basic Materials,Specialty Chemicals,1217272217600,1209.44,15.31,30.29,0.1643,344.97,325.27,26.39,False,False,False,2026-01-08
PFC,Power Finance Corporation Limited,Financial Services,Credit Services,1206022176768,22990.81,2.83,21.11,6.0334,5743.25,6337.17,42.92,True,False,True,2026-01-08
TATAPOWER,Tata Power Company Limited,Utilities,Utilities - Independent Power Producers,1196003819520,3971.0,3.93,11.72,1.5616,919.44,1044.46,52.7,False,False,False,2026-01-08
ADANIENSOL,Adani Energy Solutions Limited,Utilities,Utilities - Independent Power Producers,1194435411968,1059.97,5.87,10.54,1.8665,512.48,627.96,27.1,False,False,False,2026-01-08
TATACONSUM,Tata Consumer Products Limited,Consumer Defensive,Packaged Foods,1184888651776,1278.47,3.66,6.48,0.1187,334.15,329.38,64.45,False,False,False,2026-01-08
CIPLA,Cipla Limited,Healthcare,Drug Manufacturers - Specialty & Generic,1179870822400,5272.52,10.31,17.68,0.0142,1297.62,1364.96,69.75,False,False,False,2026-01-08
HEROMOTOCO,Hero MotoCorp Limited,Consumer Cyclical,Auto Manufacturers,1170477416448,4378.48,10.98,26.33,0.034,1308.89,1324.72,64.78,False,False,False,2026-01-08
POLYCAB,Polycab India Limited,Industrials,Electrical Equipment & Parts,1166730199040,2019.99,13.34,25.75,0.0209,592.12,541.35,32.05,False,False,False,2026-01-08
CUMMINSIND,Cummins India Limited,Industrials,Specialty Industrial Machinery,1141582331904,1999.94,15.79,31.14,0.0031,603.9,512.44,48.73,False,False,False,2026-01-08
BOSCHLTD,Bosch Limited,Consumer Cyclical,Auto Parts,1141288337408,2015.2,6.95,20.06,0.0078,554.5,709.43,29.33,False,False,False,2026-01-08
INDUSTOWER,Indus Towers Limited,Communication Services,Telecom Services,1136209690624,9931.7,13.85,29.02,0.5803,1736.8,2668.6,49.94,False,False,False,2026-01-08
IDBI,IDBI Bank Limited,Financial Services,Banks - Regional,1125023875072,7630.68,2.36,15.13,0.0,2019.18,1965.45,5.21,True,False,True,2026-01-08
INDIANB,Indian Bank,Financial Services,Banks - Regional,1115880423424,11261.47,1.3,15.75,0.0,2276.37,2897.02,26.17,True,True,True,2026-01-08
HDFCAMC,HDFC Asset Management Company Limited,Financial Services,Asset Management,1106857689088,2460.19,28.13,37.78,0.0,747.55,639.91,46.94,True,False,True,2026-01-08
BSE,BSE Limited,Financial Services,Financial Data & Stock Exchanges,1094111789056,1325.89,16.42,31.45,0.0,558.43,417.83,95.83,True,False,True,2026-01-08
LODHA,Lodha Developers Limited,Real Estate,Real Estate - Development,1089128038400,2764.3,5.71,16.83,0.4511,674.7,763.0,44.9,False,False,False,2026-01-08
ASHOKLEY,Ashok Leyland Limited,Industrials,Farm & Heavy Construction Machinery,1083843674112,3106.8,7.85,23.67,3.2789,755.77,834.36,57.15,False,False,False,2026-01-08
GMRAIRPORT,GMR Airports Limited,Industrials,Airports & Air Services,1082773012480,392.85,3.67,0.0,0.0,37.09,238.66,22.1,False,False,False,2026-01-08
GAIL,GAIL (India) Limited,Utilities,Utilities - Regulated Gas,1075222740992,12449.8,4.76,12.71,0.2537,2369.2,3088.96,41.01,False,True,False,2026-01-08
SIEMENS,Siemens Limited,Industrials,Specialty Industrial Machinery,1071813165056,2104.2,0.0,0.0,0.011,484.9,539.73,23.62,False,False,False,2026-01-08
ABB,ABB India Limited,Industrials,Specialty Industrial Machinery,1064330723328,1871.64,0.0,0.0,0.0102,351.74,481.16,24.27,False,False,False,2026-01-08
APOLLOHOSP,Apollo Hospitals Enterprise Limited,Healthcare,Medical Care Facilities,1058902114304,1445.9,7.55,19.79,0.8361,432.8,380.23,70.02,False,False,False,2026-01-08
JINDALSTEL,Jindal Steel Limited,Basic Materials,Steel,1031325941760,2812.13,3.87,5.65,0.3802,1493.97,716.93,35.53,False,False,False,2026-01-08
DRREDDY,Dr. Reddy's Laboratories Limited,Healthcare,Drug Manufacturers - Specialty & Generic,1004813287424,5654.4,8.78,17.36,0.1617,1437.2,1474.97,72.11,False,False,False,2026-01-08
PERSISTENT,Persistent Systems Limited,Technology,Information Technology Services,1003408523264,1400.16,14.94,26.2,0.0565,424.94,364.58,65.33,False,False,False,2026-01-08
INDHOTEL,The Indian Hotels Company Limited,Consumer Cyclical,Lodging,1002733633536,1907.59,9.54,15.22,0.2501,296.37,553.07,59.94,False,True,False,2026-01-08
MAXHEALTH,Max Healthcare Institute Limited,Healthcare,Medical Care Facilities,1002091249664,1075.88,7.38,14.4,0.3258,491.3,288.59,71.14,False,False,False,2026-01-08
MAZDOCK,Mazagon Dock Shipbuilders Limited,Industrials,Aerospace & Defense,1001105260544,2413.51,4.14,28.82,0.0002,452.15,572.47,18.78,False,False,False,2026-01-08
LUPIN,Lupin Limited,Healthcare,Drug Manufacturers - Specialty & Generic,1000800452608,3281.62,10.75,24.53,0.3151,1219.03,826.77,52.92,False,False,False,2026-01-08
GROWW,GROWW,Financial Services,Capital Markets,990923980800,0.0,0.0,0.0,0.0499,0.0,0.0,25.13,True,False,False,2026-01-08
ICICIPRULI,ICICI Prudential Life Insurance Company Limited,Financial Services,Insurance - Life,985837207552,1185.52,0.38,10.76,0.2268,300.99,320.39,25.15,True,False,True,2026-01-08
UNITDSPR,UNITDSPR,Consumer Defensive,Beverages - Wineries & Distilleries,984108433408,1582.0,10.07,20.41,0.049,417.0,365.67,37.11,False,False,False,2026-01-08
MARICO,Marico Limited,Consumer Defensive,Household & Personal Products,982425534464,1629.0,15.03,37.02,0.1367,420.0,415.33,42.54,False,False,False,2026-01-08
RECLTD,REC Limited,Financial Services,Credit Services,978503991296,15884.23,2.79,22.0,6.6609,4465.71,4141.35,45.5,True,False,True,2026-01-08
LGEINDIA,LGEINDIA,Technology,Consumer Electronics,970576691200,0.0,0.0,0.0,0.0688,0.0,0.0,0.0,False,False,False,2026-01-08
SHREECEM,Shree Cement Limited,Basic Materials,Building Materials,969771122688,1122.77,3.85,7.94,0.0953,642.66,281.39,27.5,False,False,False,2026-01-08
CGPOWER,CG Power and Industrial Solutions Limited,Industrials,Electrical Equipment & Parts,967368572928,974.6,8.8,18.69,0.0152,269.23,244.49,43.5,False,False,False,2026-01-08
HINDPETRO,Hindustan Petroleum Corporation Limited,Energy,Oil & Gas Refining & Marketing,962201321472,6735.7,6.89,27.1,1.1091,4110.93,2033.92,45.0,False,False,False,2026-01-08
ICICIGI,ICICI Lombard General Insurance Company Limited,Financial Services,Insurance - Diversified,950031548416,2508.29,3.37,17.8,0.0,747.08,642.64,48.57,True,False,True,2026-01-08
BHEL,Bharat Heavy Electricals Limited,Industrials,Specialty Industrial Machinery,946250711040,533.9,0.7,2.3,0.4496,455.5,248.43,35.67,False,True,False,2026-01-08
ABCAPITAL,Aditya Birla Capital Limited,Financial Services,Financial Conglomerates,939600969728,3332.32,1.2,10.34,4.5978,835.08,857.83,31.41,True,False,True,2026-01-08
MANKIND,Mankind Pharma Limited,Healthcare,Drug Manufacturers - Specialty & Generic,933434753024,1990.96,7.07,13.46,0.5389,438.32,484.82,25.75,False,False,False,2026-01-08
HAVELLS,Havells India Limited,Industrials,Electrical Equipment & Parts,930719793152,1472.26,8.15,17.71,0.0329,347.72,354.79,39.53,False,False,False,2026-01-08
DABUR,Dabur India Limited,Consumer Defensive,Household & Personal Products,921343361024,1767.63,7.31,16.1,0.1146,513.91,422.5,33.28,False,False,False,2026-01-08
SWIGGY,SWIGGY,Consumer Cyclical,Internet Retail,913421238272,3116.8,-20.95,-49.4,0.2543,1197.0,940.13,48.32,False,False,False,2026-01-08
ZYDUSLIFE,Zydus Lifesciences Limited,Healthcare,Drug Manufacturers - Specialty & Generic,913207656448,4525.5,9.54,19.25,0.3431,1466.8,1035.2,24.8,False,False,False,2026-01-08
SRF,SRF Limited,Industrials,Conglomerates,901813305344,1250.78,7.17,12.81,0.3472,432.32,332.85,47.59,False,False,False,2026-01-08
ENRIN,Siemens Energy India Limited,Utilities,Utilities - Renewable,900201447424,1100.1,10.62,28.96,0.0337,359.6,204.25,24.77,False,False,False,2026-01-08
BHARTIHEXA,BHARTIHEXA,Communication Services,Telecom Services,876799983616,1493.6,8.88,26.94,1.058,391.6,327.47,15.0,False,False,False,2026-01-08
JSWENERGY,JSW Energy Limited,Utilities,Utilities - Independent Power Producers,872727445504,1950.89,3.85,7.46,2.1867,743.12,476.38,30.54,False,False,False,2026-01-08
NAUKRI,Info Edge (India) Limited,Communication Services,Internet Content & Information,865873100800,962.14,1.07,3.52,0.0054,316.4,333.97,47.78,False,False,False,2026-01-08
PAYTM,One97 Communications Limited,Technology,Software - Infrastructure,832798130176,658.7,-1.2,-4.09,0.0104,122.5,558.7,63.24,False,False,False,2026-01-08
SBICARD,SBI Cards and Payment Services Limited,Financial Services,Credit Services,829918281728,1916.41,2.91,13.76,3.3284,555.96,440.65,31.41,True,True,True,2026-01-08
NHPC,NHPC Limited,Utilities,Utilities - Renewable,825400492032,3006.67,2.74,7.78,1.0041,1065.02,661.63,32.43,False,False,False,2026-01-08
POWERINDIA,Hitachi Energy India Limited,Industrials,Electrical Equipment & Parts,822092693504,383.98,6.58,23.96,0.0184,131.6,124.52,28.45,False,False,False,2026-01-08
BAJAJHFL,BAJAJHFL,Financial Services,Mortgage Finance,790468296704,2162.9,2.25,11.81,4.4387,583.3,560.1,11.28,True,False,True,2026-01-08
POLICYBZR,PB Fintech Limited,Financial Services,Insurance Brokers,781542490112,353.01,1.15,7.17,0.0486,84.59,97.61,73.93,True,False,False,2026-01-08
NTPCGREEN,NTPCGREEN,Utilities,Utilities - Renewable,779098456064,475.48,1.91,4.47,1.1584,220.48,112.29,10.99,False,True,False,2026-01-08
LENSKART,LENSKART,Healthcare,Medical Instruments & Supplies,772923654144,0.0,0.0,0.0,0.4422,0.0,0.0,18.9,False,False,False,2026-01-08
LTF,L&T Finance Limited,Financial Services,Credit Services,769164705792,2643.66,2.26,10.62,3.7075,701.1,652.72,33.29,True,False,True,2026-01-08
GVT&D,GE Vernova T&D India Limited,Industrials,Specialty Industrial Machinery,768805306368,608.33,14.58,53.13,0.0146,291.2,157.93,48.24,False,False,False,2026-01-08
WAAREEENER,WAAREEENER,Technology,Solar,751404318720,1867.39,10.94,33.7,0.2513,745.2,501.88,26.75,False,False,False,2026-01-08
MEESHO,MEESHO,Consumer Cyclical,Internet Retail,744215281664,3941.7,0.0,0.0,0.0863,0.0,0.0,30.69,False,False,False,2026-01-08
IDFCFIRSTB,IDFC First Bank Limited,Financial Services,Banks - Regional,739914022912,1490.35,0.41,3.44,0.0,453.47,282.57,54.41,True,False,False,2026-01-08
AUBANK,AU Small Finance Bank Limited,Financial Services,Banks - Regional,739532013568,2105.93,1.43,12.65,0.0,580.86,534.45,72.6,True,False,True,2026-01-08
NYKAA,FSN E-Commerce Ventures Limited,Consumer Cyclical,Internet Retail,734413848576,66.08,4.28,7.42,0.9775,34.43,23.24,42.45,False,False,False,2026-01-08
UNOMINDA,Uno Minda Limited,Consumer Cyclical,Auto Parts,732855533568,942.95,7.49,19.13,0.4314,303.99,263.36,31.5,False,False,False,2026-01-08
DIXON,Dixon Technologies (India) Limited,Technology,Consumer Electronics,725377286144,1095.54,5.34,47.03,0.2966,224.97,320.62,55.23,False,False,False,2026-01-08
NMDC,NMDC Limited,Basic Materials,Steel,717700136960,6541.98,12.8,23.09,0.1121,1967.74,1523.74,39.2,False,False,False,2026-01-08
RVNL,Rail Vikas Nigam Limited,Industrials,Engineering & Construction,715801690112,1281.39,2.91,12.38,0.5211,230.29,301.7,27.27,False,False,False,2026-01-08
YESBANK,Yes Bank Limited,Financial Services,Banks - Regional,713242509312,2446.49,0.67,5.93,0.0,808.65,643.5,48.86,True,False,False,2026-01-08
LLOYDSME,Lloyds Metals and Energy Limited,Basic Materials,Steel,700591243264,1449.93,11.06,25.82,1.0005,572.36,410.91,34.13,False,False,False,2026-01-08
AUROPHARMA,Aurobindo Pharma Limited,Healthcare,Drug Manufacturers - Specialty & Generic,700504801280,3485.88,6.25,10.38,0.2225,824.75,855.55,48.02,False,False,False,2026-01-08
SUZLON,Suzlon Energy Limited,Industrials,Specialty Industrial Machinery,698511392768,2071.63,10.78,50.54,0.0505,324.32,589.78,71.76,False,False,False,2026-01-08
BHARATFORG,Bharat Forge Limited,Consumer Cyclical,Auto Parts,696450154496,941.15,5.74,13.02,0.7138,299.2,259.48,53.62,False,True,False,2026-01-08
ALKEM,Alkem Laboratories Limited,Healthcare,Drug Manufacturers - Specialty & Generic,692640022528,2165.48,8.11,18.74,0.1706,765.06,531.98,32.75,False,False,False,2026-01-08
FORTIS,Fortis Healthcare Limited,Healthcare,Medical Care Facilities,692596768768,774.22,6.3,11.27,0.3296,321.92,230.69,64.82,False,False,False,2026-01-08
INDUSINDBK,IndusInd Bank Limited,Financial Services,Banks - Regional,688274669568,2575.54,-0.14,-1.16,0.0,604.07,1687.5,81.88,True,False,False,2026-01-08
TORNTPOWER,Torrent Power Limited,Utilities,Utilities - Independent Power Producers,685157646336,2988.5,6.25,18.31,0.5372,723.71,755.56,31.72,False,False,False,2026-01-08
PRESTIGE,Prestige Estates Projects Limited,Real Estate,Real Estate - Diversified,684602621952,467.5,2.16,5.05,0.8929,430.3,111.73,35.92,False,False,False,2026-01-08
IOB,Indian Overseas Bank,Financial Services,Banks - Regional,684571754496,3395.5,1.09,14.13,0.0,1178.45,915.61,7.28,True,True,True,2026-01-08
PHOENIXLTD,The Phoenix Mills Limited,Real Estate,Real Estate - Diversified,680581070848,984.23,5.79,10.1,0.3366,240.69,250.56,52.04,False,False,False,2026-01-08
UPL,UPL Limited,Basic Materials,Agricultural Inputs,670902517760,897.0,4.26,6.83,0.7961,88.0,722.33,74.19,False,False,False,2026-01-08
COROMANDEL,Coromandel International Limited,Basic Materials,Agricultural Inputs,670824202240,2066.46,8.35,20.78,0.116,505.01,585.16,40.07,False,True,False,2026-01-08
BANKINDIA,Bank of India Limited,Financial Services,Banks - Regional,668923396096,9548.28,0.92,12.23,0.0,1829.56,2553.32,17.05,True,False,True,2026-01-08
