Symbol,Date,TotalVolume,DeliveryQty,DeliveryPct
BAJAJFINSV,2026-06-03,561611,258195,45.97
BAJAJHCARE,2026-06-03,54547,27225,49.91
BAJAJHFL,2026-06-03,3591098,1547358,43.09
BAJAJHIND,2026-06-03,5372079,2010288,37.42
BAJAJHLDNG,2026-06-03,25913,9286,35.84
BAJAJINDEF,2026-06-03,17538,10503,59.89
BAJAJST,2026-06-03,12000,8627,71.89
BAJEL,2026-06-03,1998351,491621,24.6
BAJFINANCE,2026-06-03,14747769,7879337,53.43
BALAJEE,2026-06-03,33738,15544,46.07
BALAJITELE,2026-06-03,119009,62940,52.89
BALAMINES,2026-06-03,3178753,293375,9.23
BALKRISHNA,2026-06-03,3733,2718,72.81
BALKRISIND,2026-06-03,111771,46639,41.73
BALMLAWRIE,2026-06-03,105325,52234,49.59
BALPHARMA,2026-06-03,67304,20874,31.01
BALRAMCHIN,2026-06-03,1087517,974100,89.57
BALUFORGE,2026-06-03,1771727,996251,56.23
BANARBEADS,2026-06-03,723,562,77.73
BANARISUG,2026-06-03,262,218,83.21
BANCOINDIA,2026-06-03,119432,47911,40.12
BANDHANBNK,2026-06-03,11101299,3655243,32.93
BANG,2026-06-03,4504,1517,33.68
BANK10ADD,2026-06-03,33245,21301,64.07
BANKADD,2026-06-03,64398,43322,67.27
BANKBARODA,2026-06-03,17903043,7000329,39.1
BANKBEES,2026-06-03,1466358,606379,41.35
BANKBETA,2026-06-03,367114,320178,87.21
BANKBETF,2026-06-03,42736,37688,88.19
BANKETF,2026-06-03,16043,9307,58.01
BANKIETF,2026-06-03,670177,343836,51.31
BANKINDIA,2026-06-03,7726413,2520577,32.62
BANKNIFTY1,2026-06-03,937754,482025,51.4
BANKPSU,2026-06-03,10329,6724,65.1
BANSALWIRE,2026-06-03,46221,23269,50.34
BANSWRAS,2026-06-03,12222,5552,45.43
BASF,2026-06-03,12794,7083,55.36
BASML,2026-06-03,65445,34880,53.3
BATAINDIA,2026-06-03,70147,27580,39.32
BATLIBOI,2026-06-03,15684,10159,64.77
BAYERCROP,2026-06-03,30206,21441,70.98
BBETF0432,2026-06-03,4131,4005,96.95
BBL,2026-06-03,23502,11266,47.94
BBNPNBETF,2026-06-03,1979,1486,75.09
BBNPPGOLD,2026-06-03,252038,250810,99.51
BBOX,2026-06-03,934234,356511,38.16
BBTC,2026-06-03,20195,10132,50.17
BBTCL,2026-06-03,5010,3186,63.59
BCG,2026-06-03,14215776,6996118,49.21
BCLIND,2026-06-03,308755,161182,52.2
BCONCEPTS,2026-06-03,6817,5197,76.24
BCPL,2026-06-03,17560,12029,68.5
BDL,2026-06-03,1438421,399682,27.79
BEARDSELL,2026-06-03,16710,13015,77.89
BECTORFOOD,2026-06-03,410361,203759,49.65
BEDMUTHA,2026-06-03,3678,2943,80.02
BEEKAY,2026-06-03,726,604,83.2
BEL,2026-06-03,6626958,3117550,47.04
BELLACASA,2026-06-03,5887,3474,59.01
BELRISE,2026-06-03,3571070,1465437,41.04
BEML,2026-06-03,160435,57731,35.98
BENGALASM,2026-06-03,259,189,72.97
BEPL,2026-06-03,161557,82971,51.36
BERGEPAINT,2026-06-03,344743,157084,45.57
BESTAGRO,2026-06-03,232556,150505,64.72
BETA,2026-06-03,12946,5310,41.02
BFINVEST,2026-06-03,32248,13069,40.53
BFSI,2026-06-03,383738,290455,75.69
BFUTILITIE,2026-06-03,225854,115800,51.27
BHAGCHEM,2026-06-03,79233,58934,74.38
BHAGERIA,2026-06-03,38976,12008,30.81
BHARATCOAL,2026-06-03,24415239,5720136,23.43
BHARATFORG,2026-06-03,808066,310561,38.43
BHARATGEAR,2026-06-03,34262,18523,54.06
BHARATRAS,2026-06-03,8466,4038,47.7
BHARATSE,2026-06-03,57543,31072,54.0
BHARATWIRE,2026-06-03,278807,103313,37.06
BHARTIARTL,2026-06-03,5832363,3072264,52.68
BHARTIHEXA,2026-06-03,52940,26602,50.25
BHEL,2026-06-03,10000048,3207919,32.08
BI,2026-06-03,5865,4045,68.97
BIGBLOC,2026-06-03,107639,44312,41.17
BIKAJI,2026-06-03,129078,80022,62.0
BIL,2026-06-03,6137,3925,63.96
BIMETAL,2026-06-03,1160,872,75.17
BIOCON,2026-06-03,2368146,1226528,51.79
BIOFILCHEM,2026-06-03,80271,51906,64.66
BIRLACORPN,2026-06-03,47508,20877,43.94
BIRLAMONEY,2026-06-03,28228,12910,45.73
BIRLANU,2026-06-03,34505,12285,35.6
BIRLAPREC,2026-06-03,59656,29866,50.06
BLACKBUCK,2026-06-03,269897,115821,42.91
BLACKROSE,2026-06-03,12667,6776,53.49
BLAL,2026-06-03,26880,17127,63.72
BLBLIMITED,2026-06-03,200960,163912,81.56
BLIL,2026-06-03,53357,33946,63.62
BLISSGVS,2026-06-03,2648317,799714,30.2
BLKASHYAP,2026-06-03,146497,106569,72.74
BLS,2026-06-03,637907,259499,40.68
BLSE,2026-06-03,293697,135861,46.26
BLUECHIP,2026-06-03,8586,8586,100.0
BLUEDART,2026-06-03,8683,4710,54.24
BLUEJET,2026-06-03,273058,143442,52.53
BLUESTARCO,2026-06-03,308002,114701,37.24
BLUESTONE,2026-06-03,318706,164991,51.77
BLUSPRING,2026-06-03,335181,217821,64.99
BMWVENTLTD,2026-06-03,27043,17653,65.28
BOMDYEING,2026-06-03,627359,221761,35.35
BONLON,2026-06-03,5659,2600,45.94
BORANA,2026-06-03,39095,29801,76.23
BOROLTD,2026-06-03,338932,89871,26.52
BORORENEW,2026-06-03,10387627,1153818,11.11
BOROSCI,2026-06-03,204737,76281,37.26
BOSCH-HCIL,2026-06-03,12949,5143,39.72
BOSCHLTD,2026-06-03,41647,13586,32.62
BPCL,2026-06-03,6711789,3742504,55.76
BPL,2026-06-03,54438,23648,43.44
BRIGADE,2026-06-03,281715,158457,56.25
BRIGHOTEL,2026-06-03,38571,22390,58.05
BRITANNIA,2026-06-03,334445,222056,66.4
BRNL,2026-06-03,48458,30645,63.24
BSE,2026-06-03,5058668,1449243,28.65
BSE500IETF,2026-06-03,70835,48667,68.7
BSL,2026-06-03,3348,2521,75.3
BSLGOLDETF,2026-06-03,360131,223728,62.12
BSLNIFTY,2026-06-03,442860,194034,43.81
BSLSENETFG,2026-06-03,10815,10210,94.41
BSOFT,2026-06-03,1992929,586719,29.44
BTML,2026-06-03,315527,155222,49.19
BTTL,2026-06-03,8363,5858,70.05
BUILDPRO,2026-06-03,46691,23299,49.9
BUTTERFLY,2026-06-03,14564,5060,34.74
BVCL,2026-06-03,9241,7477,80.91
BYKE,2026-06-03,14222,12361,86.91
CAMLINFINE,2026-06-03,991435,381574,38.49
CAMPUS,2026-06-03,363041,131207,36.14
CAMS,2026-06-03,1152395,556466,48.29
CANBK,2026-06-03,38359464,19438276,50.67
CANFINHOME,2026-06-03,114394,68104,59.53
CANHLIFE,2026-06-03,524423,339862,64.81
CANTABIL,2026-06-03,55980,32194,57.51
CAPACITE,2026-06-03,411083,90520,22.02
CAPILLARY,2026-06-03,31011,9363,30.19
CAPITALSFB,2026-06-03,16731,9624,57.52
CAPLIPOINT,2026-06-03,45721,22205,48.57
CARBORUNIV,2026-06-03,51106,25296,49.5
CARERATING,2026-06-03,36797,26742,72.67
CARRARO,2026-06-03,159622,57346,35.93
CARTRADE,2026-06-03,3224564,607309,18.83
CARYSIL,2026-06-03,182936,76538,41.84
CASHIETF,2026-06-03,156227,140347,89.84
CASTROLIND,2026-06-03,671415,483910,72.07
CCAVENUE,2026-06-03,6473236,2598904,40.15
CCCL,2026-06-03,167821,124180,74.0
CCHHL,2026-06-03,3614,2991,82.76
CCL,2026-06-03,148436,80573,54.28
CDSL,2026-06-03,1215220,358863,29.53
CEATLTD,2026-06-03,49748,19099,38.39
CEIGALL,2026-06-03,699251,224858,32.16
CEINSYS,2026-06-03,66119,29626,44.81
